fecha,infla_anual,tipo_cambio_dolar,tasa_desempleo,tasa_fondeo_undia,cetes_28dias,cetes_91dias,bonos_3anios,bonos_5anios
31/01/2013, 3.25 ,12.7134,5.156704744511,4.49,4.23,4.3,4.44,4.68
28/02/2013, 3.55 ,12.868,4.95933004748,4.51,4.13,4.1,4.376,4.62
31/03/2013, 4.25 ,12.3612,5.049921346008,4.07,3.95,3.95,3.94,4.18
30/04/2013, 4.65 ,12.155,5.118899171166,4.06,3.76,3.8,4.308,4.81
31/05/2013, 4.63 ,12.6328,4.958632514043,4.06,3.71,3.77,4.49,5.47
30/06/2013, 4.09 ,13.0235,5.07113150813,4.04,3.82,3.9,4.8,5.21
31/07/2013, 3.47 ,12.7321,4.8956709985,4.02,3.9,3.89,4.87,5.53
31/08/2013, 3.46 ,13.3104,4.821885020916,4.02,3.83,3.88,4.34,4.98
30/09/2013, 3.39 ,13.0119,4.984131752905,3.81,3.5,3.55,4.38,5.1
31/10/2013, 3.36 ,12.8903,4.883455522628,3.59,3.38,3.42,4.29,5.02
30/11/2013, 3.62 ,13.0836,4.609319659988,3.62,3.4,3.5,4.5,5.42
31/12/2013, 3.97 ,13.0765,4.793408720229,3.71,3.18,3.3,4.473,5.432
31/01/2014, 4.48 ,13.3671,4.906450996675,3.53,3.18,3.42,4.3,5.21
28/02/2014, 4.23 ,13.2992,4.819550638492,3.61,3.15,3.34,4.258,5.122
31/03/2014, 3.76 ,13.0837,5.285971096478,3.55,3.19,3.3,4.74,5.08
30/04/2014, 3.50 ,13.1356,4.917528622898,3.56,3.25,3.42,4.495,4.845
31/05/2014, 3.51 ,12.8462,4.942160570161,3.57,3.31,3.38,4.09,4.56
30/06/2014, 3.75 ,13.0323,4.826649474916,3.09,2.9,2.91,4.21,4.7
31/07/2014, 4.07 ,13.0578,5.216309604773,3.07,2.8,2.91,4.19,4.64
31/08/2014, 4.15 ,13.1109,4.842651306797,3.1,2.76,2.87,4.73,5.07
30/09/2014, 4.22 ,13.4541,4.783889573946,3.07,2.86,2.86,4.35,4.76
31/10/2014, 4.30 ,13.4239,4.647120772522,3.08,2.9,2.92,4.19,4.59
30/11/2014, 4.17 ,13.7667,4.655470385501,3.05,2.76,2.87,4.39,5.225
31/12/2014, 4.08 ,14.718,4.168264837379,3.23,2.74,2.94,3.92,4.61
31/01/2015, 3.07 ,14.8414,4.392145586629,3.07,2.75,2.89,4.37,5.09
28/02/2015, 3.00 ,14.9624,4.446932242522,3.09,2.9,3.02,4.58,5.36
31/03/2015, 3.14 ,15.1542,4.275583419595,3.13,3.05,3.1,4.42,5.24
30/04/2015, 3.06 ,15.2225,4.347984984688,3.07,2.85,3.04,4.37,5.26
31/05/2015, 2.88 ,15.3737,4.385558448076,3.1,2.99,3.08,4.87,5.22
30/06/2015, 2.87 ,15.5676,4.413421532759,3.3,2.98,3.11,4.93,5.22
31/07/2015, 2.74 ,16.214,4.491054989657,3.2,3.01,3.17,4.99,5.18
31/08/2015, 2.59 ,16.8863,4.386770493494,3.17,3.12,3.45,4.85,5.15
30/09/2015, 2.52 ,17.0073,4.195448219286,3.08,3.02,3.15,4.76,5.43
31/10/2015, 2.48 ,16.6219,4.441743810185,3.19,3.05,3.14,4.85,5.563
30/11/2015, 2.21 ,16.5492,4.064089979805,3.13,3.03,3.22,4.84,5.72
31/12/2015, 2.13 ,17.2065,4.307052185094,3.38,3.05,3.29,4.65,5.44
31/01/2016, 2.61 ,18.2906,4.171987168192,3.38,3.14,3.34,4.94,5.59
29/02/2016, 2.87 ,18.168,4.255219554223,3.93,3.85,3.99,4.75,5.34
31/03/2016, 2.60 ,17.4015,4.144012474067,3.82,3.76,3.87,4.65,5.28
