NIVEL,Codigo,BALANCE GENERAL,proyeccion,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
1,1,ACTIVO,NO,5817590.58,9098006.83,15069217.67,20546579.65,29638010.35,35371426.16,39053234.7,43744965.37,59648106.44,74567939.67,76120080.06,78886039.66,83992588.71,80187347.63,92121826.93,102328540.66,98537675.35,102473953.37,104365139.69,109186841.16,110024209.51,114547971.77,116451198.72,116562169.72,114285497.89,115661588.09,115443448.89,120156497.41,122176387.69,120860178.18,127943526.41,128015469.73,129846628.58,157248305.94,157334105.84,160744415.74,158849805.92,157668744.03,152115355.37,132394077.76,129527118.92,126603533.64,132950365.73,142159860.57,139287529.48,158261847.97,160354257.85,159905080.39,159896650.54,137747251.47,145762734.25,145004258.0,140515192.8,146469118.23,146419914.36,153894114.74,155952509.04,181003210.57,174650421.72,178419146.29,178492455.42,151240227.42,152629676.23,154102740.34,162221085.57,161276041.73,169822526.87,171614275.13,173326881.81,174546343.72,175022490.62,177438059.58,187421087.28,182505197.79,186391005.88,201465356.8,200905188.32,202430780.65,212910626.35,217156878.72,216790840.13,224270488.55,221271800.84,225185639.83,227767871.79,229656380.35,234561032.69,240836709.84,239699898.1,247730053.7,251186748.84,255289053.7,261402299.97,261658896.3,260505998.86,263251063.07,266443462.45,276038997.63,275156260.45,282415082.33,283790126.8,288045161.62,294546763.08,297847165.51,302593021.17,296256007.86,303288658.75,303390151.51,307940411.21,316304359.56,318505705.58,314426378.08,317539208.37,321211686.71,327191413.33,336814241.52,340593620.3,345090016.13,351733766.83,350191538.87,355290358.62,358543597.97,361349296.78,361937433.66,371346608.34,374483282.85,374558966.76,379673288.25,377610227.32,0.0
2,101,DISPONIBILIDADES,NO,1548014.58,315064.31,550303.77,187949.73,2710567.35,780959.13,419873.08,874465.55,1259219.13,952158.96,797163.88,862476.78,3368355.34,2288835.66,3129043.48,8305250.94,3433011.84,3083904.24,1982055.81,2939111.26,2145443.96,9993459.14,11068263.79,8322552.46,5125660.4,7061643.47,8492801.01,8187156.83,7511467.94,2808006.25,8209406.61,2988932.06,2004349.51,3623332.7,6750025.9,8507817.73,5070953.4,5358841.32,6134839.96,10020909.8,12879300.95,11936331.17,17717317.78,21418517.24,19481996.99,14917507.91,15557025.79,13497941.69,10300146.58,11490008.18,17051163.5,15336621.42,9015353.73,11712654.24,9834997.41,15268631.66,21080490.79,19497814.07,11136698.13,12511045.36,11171843.05,12111376.76,14302693.49,18106000.29,21197398.05,15710134.59,21990742.69,16315656.95,15125487.62,17672153.92,17864911.3,17406153.9,23821682.34,12210292.39,18243594.52,22900142.59,20461530.39,15583533.45,24318477.02,24105483.73,19819365.55,15971201.81,11158072.64,12866355.59,14071087.3,13875093.89,15419374.33,16904971.41,15172177.61,19142294.79,19033484.73,16822267.91,19143085.07,19200960.76,15481372.59,16272526.77,14793148.46,21517862.32,20495405.17,18485884.72,17987340.83,17885144.32,22213370.09,20955645.33,22323747.72,18745860.2,18816471.15,19647972.24,19328242.95,24644511.94,23352847.06,20709016.34,22473058.8,23860568.11,21500037.15,22696513.2,20878380.52,24206463.12,26578104.23,22364005.48,26068386.97,29574169.87,31424236.32,40523688.07,43212986.16,43683716.49,49258660.87,53624902.68,54499373.66,0.0
3,1011,MONEDA NACIONAL,NO,1548014.58,315064.31,550303.77,187949.73,435695.15,776497.74,415411.69,870004.16,1254757.74,952155.14,797160.06,862472.96,3242338.59,2251069.52,3077502.39,7360173.1,3082298.27,1471161.43,1745603.28,2702343.7,1971299.95,2382466.49,10992463.22,8232525.67,5032660.3,7008275.24,8259261.23,7979856.71,6871079.28,2561603.55,7785184.78,2624579.26,1781071.86,3474874.76,5727605.33,7966595.12,4537385.16,4863972.32,4867010.54,9319095.28,11135599.45,10191075.27,16391374.7,20144709.02,18363985.07,14310830.49,15337309.9,12448884.85,10238771.77,11463184.99,10389444.45,7932037.64,7971684.87,10835478.15,9643801.4,13830855.65,14806407.25,13800883.96,10987779.97,10156360.66,11112367.68,12083411.88,14269410.52,18085492.1,21181013.34,15698617.29,18138858.79,12469715.17,15119105.65,17669698.01,17862357.08,14600634.43,21027761.28,11449235.85,17729402.02,21837532.06,19016328.7,15465291.89,24270058.11,23464089.87,14159764.77,14992959.81,10565000.97,12084782.26,12674093.67,12884295.84,13102607.45,16353798.46,13175984.96,18517027.99,18671885.91,15700310.06,16139725.92,16809275.44,14038485.11,15256747.24,13395101.55,20451930.28,20387958.82,14728235.1,14859815.87,15215039.64,18143557.17,17256376.68,22075651.97,17874774.24,18760695.57,19591062.11,15461536.82,21123741.18,21644787.57,19410653.85,21701922.06,23247294.86,21250341.52,22646627.69,20874552.77,24085018.01,26510018.58,22339841.42,22242751.38,25762938.89,27621200.52,34809858.0,37154875.65,37775763.38,38903112.12,42650055.87,44372683.5,0.0
4,101101,CAJA,SI,18052.46,40869.87,148747.18,103871.41,196732.44,303291.48,352156.58,341920.73,225763.92,295939.17,435299.38,413683.57,308412.27,456258.57,360008.12,399090.27,397087.52,366853.15,395320.58,432312.89,643794.15,481591.74,841779.68,566484.35,713984.01,533175.6,619821.61,537100.47,513399.4,783559.33,964847.09,870621.56,902455.6,838344.25,948797.02,819915.34,1114142.5,1056540.6,950343.48,791953.01,992119.44,1077971.81,857644.05,815500.74,1115446.31,965895.47,1524367.66,1258134.19,987562.46,1098435.21,1001540.9,1127135.19,1473485.21,1158653.49,1444073.79,1176241.16,2034482.48,1462559.01,1234257.2,1063099.55,1484939.85,1335181.97,1628488.72,1945487.95,1967606.7,2010341.63,2190152.97,2199216.0,2039957.84,1965460.36,1941336.18,2693361.79,2436245.17,2394907.25,2946636.9,2567455.33,2937005.79,2227584.54,2412167.63,1777603.66,2808258.41,3336933.52,3171743.5,2986208.46,3411359.52,3105882.38,3627730.78,3783344.25,3803356.47,3707816.11,3717737.39,3322748.07,4222696.74,4591631.33,3476991.08,4044030.77,3055756.52,4600039.55,5009220.35,3608928.36,4237595.54,4571253.37,3280790.88,3823636.2,4108757.77,3545006.14,4188319.53,4288521.93,2766489.28,4084891.84,4041085.4,3509836.89,3915433.48,3233842.08,3410236.74,3615742.99,3573974.7,4112737.45,4818690.21,4374845.73,3842411.08,4304335.26,4236301.49,4376704.26,4075030.17,4055995.43,4919996.71,4229010.34,3921940.12,0.0
4,101103,BANCOS DE PAÍS,SI,1529962.12,274194.44,401556.59,84078.32,238962.71,473206.26,63255.11,528083.43,1028993.82,656215.97,361860.68,448789.39,2933926.32,1794810.95,2717494.27,6961082.83,2685210.75,1104308.28,1350282.7,2270030.81,1327505.8,1900874.75,10150683.54,7666041.32,4318676.29,6475099.64,7639439.62,7442756.24,6357679.88,1778044.22,6820337.69,1753957.7,878616.26,2636530.51,4778808.31,7146679.78,3423242.66,3807431.72,3916667.06,8527142.27,10143480.01,9113103.46,15533730.65,19329208.28,17248538.76,13344935.02,13812942.24,11190750.66,9251209.31,10364749.78,9387903.55,6804902.45,6498199.66,9676824.66,8199727.61,12654614.49,12771924.77,12338324.95,9753522.77,9093261.11,9627427.83,10748229.91,12640921.8,16140004.15,19213406.64,13688275.66,15948705.82,10270499.17,13079147.81,15704237.65,15921020.9,11907272.64,18591516.11,9054328.6,14782765.12,19270076.73,16079322.91,13237707.35,21857890.48,21686486.21,11351506.36,11656026.29,7393257.47,9098573.8,9262734.15,9778413.46,9474876.67,12570454.21,9372628.49,14809211.88,14954148.52,12377561.99,11917029.18,12217644.11,10561494.03,11212716.47,10339345.03,15851890.73,15378738.47,11119306.74,10622220.33,10643786.27,14862766.29,13432740.48,17966894.2,14329768.1,14572376.04,15302540.18,12695047.54,17038849.34,17603702.17,15900816.96,17786488.58,20013452.78,17839994.78,19030784.7,17300478.07,19972180.56,21691228.37,17964895.69,16400240.3,19441143.48,21355603.27,28387896.89,31022753.02,31646938.47,28392383.06,32624857.42,34786375.84,0.0
4,101108,OTRAS ENTIDADES FINANCIERAS,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,100.0,100.0,100.0,100.0,100.0,2000100.0,2017460.15,2029295.76,2045256.85,2057092.46,2072829.48,5590732.35,5796188.11,5664367.54,0.0
3,1016,MONEDA EXTRANJERA,NO,0.0,0.0,0.0,0.0,2274872.2,4461.39,4461.39,4461.39,4461.39,3.82,3.82,3.82,126016.75,37766.14,51541.09,945077.84,350713.57,1612742.81,236452.53,236767.56,174144.01,7610992.65,75800.57,90026.79,93000.1,53368.23,233539.78,207300.12,640388.66,246402.7,424221.83,364352.8,223277.65,148457.94,1022420.57,541222.61,533568.24,494869.0,1267829.42,701814.52,1743701.5,1745255.9,1325943.08,1273808.22,1118011.92,606677.42,219715.89,1049056.84,61374.81,26823.19,6661719.05,7404583.78,1043668.86,877176.09,191196.01,1437776.01,6274083.54,5696930.11,148918.16,2354684.7,59475.37,27964.88,33282.97,20508.19,16384.71,11517.3,3851883.9,3845941.78,6381.97,2455.91,2554.22,2805519.47,2793921.06,761056.54,514192.5,1062610.53,1445201.69,118241.56,48418.91,641393.86,5659600.78,978242.0,593071.67,781573.33,1396993.63,990798.05,2316766.88,551172.95,1996192.65,625266.8,361598.82,1121957.85,3003359.15,2391685.32,1442887.48,1015779.53,1398046.91,1065932.04,107446.35,3757649.62,3127524.96,2670104.68,4069812.92,3699268.65,248095.75,871085.96,55775.58,56910.13,3866706.13,3520770.76,1708059.49,1298362.49,771136.74,613273.25,249695.63,49885.51,3827.75,121445.11,68085.65,24164.06,3825635.59,3811230.98,3803035.8,5713830.07,6058110.51,5907953.11,10355548.75,10974846.81,10126690.16,0.0
4,101602,BÓVEDA,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41419.13,41419.13,41383.78,7047.12,12945.5,7082.04,7084.38,7072.5,7049.27,7045.52,7044.32,7825.15,14071.82,10129.15,6217.46,2330.27,776.87,774.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,101603,BANCOS DEL PAÍS,SI,0.0,0.0,0.0,0.0,2274872.2,4461.39,4461.39,4461.39,4461.39,3.82,3.82,3.82,126016.75,37766.14,51541.09,945077.84,350713.57,1612742.81,236452.53,236767.56,174144.01,7610992.65,75800.57,90026.79,93000.1,53368.23,233539.78,207300.12,640388.66,246402.7,424221.83,364352.8,223277.65,148457.94,1022420.57,541222.61,533568.24,494869.0,1267829.42,701814.52,1743701.5,1745255.9,1325943.08,1273808.22,1118011.92,606677.42,219715.89,1049056.84,61374.81,26823.19,6661719.05,7404583.78,1043668.86,877176.09,191196.01,1437776.01,6274083.54,5696930.11,148918.16,2354684.7,59475.37,27964.88,33282.97,20508.19,16384.71,11517.3,3851883.9,3845941.78,6381.97,2455.91,2554.22,2805519.47,2793921.06,761056.54,514192.5,1062610.53,1445201.69,118241.56,48418.91,641393.86,5659600.78,978242.0,593071.67,781573.33,1396993.63,990798.05,2316766.88,551172.95,1996192.65,625266.8,361598.82,1121957.85,3003359.15,2391685.32,1442887.48,974360.4,1356627.78,1024548.26,100399.23,3744704.12,3120442.92,2663020.3,4062740.42,3692219.38,241050.23,864041.64,47950.43,42838.31,3856576.98,3514553.3,1705729.22,1297585.62,770362.05,613273.25,249695.63,49885.51,3827.75,121445.11,68085.65,24164.06,3825635.59,3811230.98,3803035.8,5713830.07,6058110.51,5907953.11,10355548.75,10974846.81,10126690.16,0.0
2,102,INVERSIONES,NO,5100.0,5100.0,100.0,100.0,100.0,2276688.04,2283242.52,2290911.37,13077611.37,16921953.64,16964231.74,17006217.4,19227731.3,19220096.45,23783568.49,28416041.87,28425839.69,28406827.49,30128196.79,29802686.56,29852540.82,29918180.36,29973058.26,30008197.88,29476799.38,29535694.75,27277195.63,27219184.14,27286605.2,27234101.72,26961847.41,26982418.35,26982418.35,26936178.01,26950246.59,26990590.85,27041859.88,27052283.71,22553037.72,22605654.81,18598040.28,18543085.07,18559682.15,18576167.4,18592781.44,14868730.14,12606294.37,14226255.79,16242903.79,16259825.08,14038778.56,14081143.46,14770334.33,14787626.7,14804804.24,14821793.42,10115658.51,10235791.96,10256307.97,10430592.65,12755599.15,12777002.28,12798438.5,12819858.64,14849628.86,14871055.22,10177778.01,10832780.61,10327577.87,10365195.68,10352813.49,10390431.3,10426974.11,11992746.92,9708572.9,18982185.52,18989615.38,19048757.75,20630544.92,20656904.77,20682121.05,31768666.0,31672736.79,28705260.24,28894244.61,28930203.73,29042369.1,30671348.42,28664857.19,30724888.71,32069780.08,32212223.49,32301607.83,32149350.44,32227921.39,32243653.59,32304849.7,32402774.45,32538457.45,37793742.05,37960086.03,39097570.55,39132153.3,39154913.5,39246327.69,37399638.19,37466288.2,37573940.7,37605021.94,38040990.7,38139024.16,34046076.19,34314096.79,34387794.14,42277603.99,41757498.36,41839704.92,41513183.99,41694261.8,41736534.61,41841309.92,41914807.2,41969643.76,34206229.07,35410973.13,35485723.44,28614398.95,28548641.62,27148335.79,0.0
