archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,DT,2025,2023.0,2.0,2025,2023.0,2.0,2025,2023.0,2.0
validacionmodelo_Capital contribuido_True,DT,46475907,43909467.0,2566440.0,46699803,43909467.0,2790336.0,46948934,43909467.0,3039467.0
validacionmodelo_Comisiones y tarifas cobradas_True,DT,185564,708172.3999999999,-522608.3999999999,312401,675937.0,-363536.0,455175,675937.0,-220762.0
validacionmodelo_Comisiones y tarifas pagadas_True,DT,96821,211767.4,-114946.4,167158,234272.75,-67114.74999999997,222934,264051.8571428572,-41117.85714285716
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,DT,0,0.2066115702479338,-0.2066115702479338,0,0.2066115702479338,-0.2066115702479338,0,0.2066115702479338,-0.2066115702479338
validacionmodelo_Créditos a la vivienda4_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,DT,217288,167625.0,49663.0,404523,299452.0,105071.0,618616,495825.0,122791.0
validacionmodelo_Créditos comerciales4_True,DT,2469,37163.0,-34694.0,12131,38677.0,-26546.0,12346,38677.0,-26331.0
validacionmodelo_Créditos comerciales5_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,DT,-14036,102277.25,-116313.25,-96923,102277.25,-199200.25,-36630,123411.25,-160041.25
validacionmodelo_Créditos de consumo1_True,DT,9032738,8572213.25,460524.75,8799823,8572213.25,227609.75,8084911,8572213.25,-487302.25
validacionmodelo_Créditos de consumo2_True,DT,-15314510,-15772286.25,457776.25,-14905902,-15080061.285714287,174159.2857142873,-15870485,-15772286.25,-98198.75
validacionmodelo_Créditos de consumo3_True,DT,7809437,48997040.5,-41187603.5,14943581,9090468.333333332,5853112.666666668,23061817,9090468.333333332,13971348.666666668
validacionmodelo_Créditos de consumo4_True,DT,283763,820255.2222222224,-536492.2222222224,422632,911448.3571428572,-488816.3571428572,498776,1143672.6875,-644896.6875
validacionmodelo_Créditos de consumo5_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,DT,1222155,10861262.4,-9639107.4,1935647,4820768.199999999,-2885121.1999999997,4046960,2228391.2,1818568.8
validacionmodelo_Créditos de consumo_True,DT,455122670,380508834.0,74613836.0,466064428,380508834.0,85555594.0,472451068,380508834.0,91942234.0
validacionmodelo_Depósitos a plazo_True,DT,138974402,90655891.33333334,48318510.66666666,150681725,90655891.33333334,60025833.66666666,155961229,90655891.33333334,65305337.66666666
validacionmodelo_Depósitos de exigibilidad inmediata_True,DT,430361702,383651347.0,46710355.00000006,432268641,381790297.0,50478344.0,436236415,379346305.0,56890110.0
validacionmodelo_Disponibilidades_True,DT,24108153,12970982.749999998,11137170.250000002,19799516,14202340.714285716,5597175.285714285,22218738,12970982.749999998,9247755.250000002
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,DT,432,31676.33333333335,-31244.33333333335,-8951,31676.33333333335,-40627.33333333335,-4174,25447.50000000001,-29621.50000000001
validacionmodelo_Fondo de reserva_True,DT,127433107,99024566.0,28408541.00000001,127433107,99024566.0,28408541.00000001,127433107,99024566.0,28408541.00000001
validacionmodelo_Gastos de administración y promoción_True,DT,3607147,30019206.75,-26412059.75,8387541,30019206.75,-21631665.75,12955309,30019206.75,-17063897.75
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses de disponibilidades_True,DT,0,19.46315789473685,-19.46315789473685,0,19.46315789473685,-19.46315789473685,0,19.46315789473685,-19.46315789473685
validacionmodelo_Intereses por depósitos a plazo_True,DT,760149,3248249.75,-2488100.75,1506776,3248249.75,-1741473.75,2369964,3248249.75,-878285.75
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,DT,835175,5836413.666666667,-5001238.666666667,1591510,4090648.25,-2499138.25,2434591,2975061.5,-540470.5
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,DT,0,8240.75,-8240.75,0,8240.75,-8240.75,0,8240.75,-8240.75
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,DT,0,395.2448979591837,-395.2448979591837,0,395.2448979591837,-395.2448979591837,0,395.2448979591837,-395.2448979591837
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,DT,2430998,25406285.0,-22975287.0,4495126,25406285.0,-20911159.0,6754384,25406285.0,-18651901.0
validacionmodelo_Inversiones en valores_True,DT,280216243,235586174.00000003,44630068.99999997,290849436,235586174.00000003,55263261.99999997,293608122,235586174.00000003,58021947.99999997
validacionmodelo_Inversiones permanentes_True,DT,1503804,1421565.0,82239.0,1503804,1421565.0,82239.0,1503804,1421565.0,82239.0
validacionmodelo_Operaciones discontinuadas_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Otras cuentas por cobrar_True,DT,3358004,2378675.333333333,979328.666666667,3766737,2378675.333333333,1388061.666666667,3756536,2378675.333333333,1377860.666666667
validacionmodelo_Otras cuentas por pagar_True,DT,14075139,12540196.0,1534943.0,14987231,12540196.0,2447035.0,13527903,12540196.0,987707.0
validacionmodelo_Otros activos_True,DT,1792279,933128.5,859150.5,1718950,889443.0,829507.0,1567336,743933.4999999999,823402.5000000001
validacionmodelo_Otros ingresos (egresos) de la operación_True,DT,-1540,986879.25,-988419.25,-5247,1070180.714285714,-1075427.714285714,4680,1070180.714285714,-1065500.714285714
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",DT,0,2262.4496124031007,-2262.4496124031007,0,2262.4496124031007,-2262.4496124031007,0,2262.4496124031007,-2262.4496124031007
"validacionmodelo_Propiedades, mobiliario y equipo_True",DT,21498801,15124921.583333334,6373879.416666666,21397787,15124921.583333334,6272865.416666666,22029172,15124921.583333334,6904250.416666666
validacionmodelo_Pérdida por valorización_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado neto_True,DT,4420136,17344954.0,-12924818.0,7102388,17344954.0,-10242566.0,9416839,17344954.0,-7928115.0
validacionmodelo_Resultado por intermediación_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado por posición monetaria neto (margen financiero)_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Total ingresos_True,DT,10927979,72205935.0,-61277956.0,20585147,72205935.0,-51620788.0,31405794,72205935.0,-40800141.0
validacionmodelo_True,DT,280216243,235586174.00000003,44630068.99999997,290849436,235586174.00000003,55263261.99999997,293608122,235586174.00000003,58021947.99999997
validacionmodelo_Utilidad por valorización_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
