archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,DTPSO,2025,2023.0,2.0,2025,2023.0,2.0,2025,2023.0,2.0
validacionmodelo_Capital contribuido_True,DTPSO,46475907,43909467.0,2566440.0,46699803,43909467.0,2790336.0,46948934,43909467.0,3039467.0
validacionmodelo_Comisiones y tarifas cobradas_True,DTPSO,185564,134127.0,51437.0,312401,225610.00000000003,86790.99999999997,455175,342730.0,112445.0
validacionmodelo_Comisiones y tarifas pagadas_True,DTPSO,96821,40166.0,56655.0,167158,70634.0,96524.0,222934,108291.0,114643.0
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,DTPSO,0,0.2100840336134453,-0.2100840336134453,0,0.2100840336134453,-0.2100840336134453,0,0.2100840336134453,-0.2100840336134453
validacionmodelo_Créditos a la vivienda4_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,DTPSO,217288,167625.0,49663.0,404523,321096.0,83427.0,618616,491724.0,126892.0
validacionmodelo_Créditos comerciales4_True,DTPSO,2469,37163.0,-34694.0,12131,38228.0,-26097.0,12346,39126.0,-26780.0
validacionmodelo_Créditos comerciales5_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,DTPSO,-14036,-38413.99999999999,24377.999999999996,-96923,-6359.000000000005,-90564.0,-36630,-37861.00000000001,1231.0000000000073
validacionmodelo_Créditos de consumo1_True,DTPSO,9032738,9583176.0,-550438.0,8799823,9729654.000000002,-929831.000000002,8084911,10071746.000000002,-1986835.0000000016
validacionmodelo_Créditos de consumo2_True,DTPSO,-15314510,-15012801.0,-301709.0,-14905902,-15107311.0,201409.0,-15870485,-15517712.0,-352773.0
validacionmodelo_Créditos de consumo3_True,DTPSO,7809437,69313602.0,-61504165.0,14943581,69313602.0,-54370021.0,23061817,69313602.0,-46251785.0
validacionmodelo_Créditos de consumo4_True,DTPSO,283763,54701.0,229062.0,422632,152454.0,270178.0,498776,248022.0,250754.0
validacionmodelo_Créditos de consumo5_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,DTPSO,1222155,14891228.999999998,-13669073.999999998,1935647,14891228.999999998,-12955581.999999998,4046960,14891228.999999998,-10844268.999999998
validacionmodelo_Créditos de consumo_True,DTPSO,455122670,380508834.0,74613836.0,466064428,380508834.0,85555594.0,472451068,380508834.0,91942234.0
validacionmodelo_Depósitos a plazo_True,DTPSO,138974402,90090201.0,48884200.99999999,150681725,90090201.0,60591523.99999999,155961229,90090201.0,65871027.99999999
validacionmodelo_Depósitos de exigibilidad inmediata_True,DTPSO,430361702,383651347.0,46710355.00000006,432268641,381790297.0,50478344.0,436236415,379346305.0,56890110.0
validacionmodelo_Disponibilidades_True,DTPSO,24108153,17485245.0,6622908.0,19799516,15881553.0,3917963.0,22218738,14613610.0,7605128.0
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,DTPSO,432,44100.99999999999,-43668.99999999999,-8951,58063.99999999999,-67014.99999999999,-4174,61926.99999999998,-66100.99999999997
validacionmodelo_Fondo de reserva_True,DTPSO,127433107,99024566.0,28408541.00000001,127433107,99024566.0,28408541.00000001,127433107,99024566.0,28408541.00000001
validacionmodelo_Gastos de administración y promoción_True,DTPSO,3607147,43066616.0,-39459469.0,8387541,43066616.0,-34679075.0,12955309,43066616.0,-30111307.0
