archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,Lasso,2025,2024.005586093996,0.9944139060041834,2025,2024.0106186983037,0.9893813016965396,2025,2024.015224672556,0.9847753274443676
validacionmodelo_Capital contribuido_True,Lasso,46475907,46247417.74209594,228489.25790406016,46699803,46328915.167069495,370887.8329305053,46948934,46432521.570730366,516412.4292696342
validacionmodelo_Comisiones y tarifas cobradas_True,Lasso,185564,1428260.068195356,-1242696.068195356,312401,1282959.363769891,-970558.363769891,455175,1159739.880117407,-704564.8801174071
validacionmodelo_Comisiones y tarifas pagadas_True,Lasso,96821,463936.8063955723,-367115.8063955723,167158,403886.6142371834,-236728.6142371834,222934,355761.48063221225,-132827.48063221225
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,Lasso,0,0.2441467895923738,-0.2441467895923738,0,0.4559896458034113,-0.4559896458034113,0,0.6398028173899694,-0.6398028173899694
validacionmodelo_Créditos a la vivienda4_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,Lasso,217288,2318619.6243776125,-2101331.6243776125,404523,2230513.7985807266,-1825990.7985807264,618616,2152371.133727695,-1533755.1337276949
validacionmodelo_Créditos comerciales4_True,Lasso,2469,28056.620233876463,-25587.620233876463,12131,29058.11514379273,-16927.11514379273,12346,30180.417748785934,-17834.417748785938
validacionmodelo_Créditos comerciales5_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,Lasso,-14036,135050.37900916822,-149086.37900916822,-96923,108438.10242777766,-205361.1024277777,-36630,87871.74481981307,-124501.74481981307
validacionmodelo_Créditos de consumo1_True,Lasso,9032738,9387435.164743742,-354697.164743742,8799823,9345557.144211415,-545734.1442114171,8084911,9306385.246597908,-1221474.2465979066
validacionmodelo_Créditos de consumo2_True,Lasso,-15314510,-15368138.619870145,53628.61987014301,-14905902,-15389460.805531723,483558.8055317253,-15870485,-15336844.669809792,-533640.3301902078
validacionmodelo_Créditos de consumo3_True,Lasso,7809437,67055470.31284651,-59246033.31284651,14943581,54557066.77335417,-39613485.77335417,23061817,44918301.749423504,-21856484.749423504
validacionmodelo_Créditos de consumo4_True,Lasso,283763,1539201.031665761,-1255438.031665761,422632,1520478.815336362,-1097846.815336362,498776,1513407.922351187,-1014631.9223511872
validacionmodelo_Créditos de consumo5_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,Lasso,1222155,11671538.01607002,-10449383.01607002,1935647,9445614.824782504,-7509967.824782504,4046960,7799268.135371876,-3752308.135371876
validacionmodelo_Créditos de consumo_True,Lasso,455122670,454484976.4023596,637693.5976404548,466064428,456062101.92997336,10002326.070026636,472451068,457632296.1804536,14818771.819546402
validacionmodelo_Depósitos a plazo_True,Lasso,138974402,131310473.73960942,7663928.26039058,150681725,132549431.48927812,18132293.51072188,155961229,133795670.79383792,22165558.20616208
validacionmodelo_Depósitos de exigibilidad inmediata_True,Lasso,430361702,429997151.1738863,364550.82611370087,432268641,430683589.2847525,1585051.715247512,436236415,431364681.2957741,4871733.704225957
validacionmodelo_Disponibilidades_True,Lasso,24108153,19514516.03960821,4593636.960391786,19799516,17838590.02675116,1960925.9732488396,22218738,18448144.30428417,3770593.6957158297
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,Lasso,432,23537.413717748856,-23105.413717748856,-8951,20271.515736305,-29222.515736305,-4174,16077.424274637517,-20251.42427463752
validacionmodelo_Fondo de reserva_True,Lasso,127433107,128124438.74523346,-691331.7452334613,127433107,128768429.20139906,-1335322.201399058,127433107,129374092.48873492,-1940985.4887349308
validacionmodelo_Gastos de administración y promoción_True,Lasso,3607147,41032596.45635197,-37425449.45635197,8387541,33452916.15382524,-25065375.15382524,12955309,27793746.02568284,-14838437.02568284
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
