archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,LassoPSO,2025,2024.0554550679635,0.944544932036706,2025,2024.105626248118,0.8943737518820853,2025,2024.151733339436,0.8482666605641498
validacionmodelo_Capital contribuido_True,LassoPSO,46475907,46046498.86938289,429408.1306171119,46699803,46024615.44424043,675187.5557595715,46948934,46087166.01644376,861767.9835562408
validacionmodelo_Comisiones y tarifas cobradas_True,LassoPSO,185564,1410587.028817895,-1225023.028817895,312401,1253064.9545958554,-940663.9545958554,455175,1121786.4767723142,-666611.4767723142
validacionmodelo_Comisiones y tarifas pagadas_True,LassoPSO,96821,459436.6570003953,-362615.6570003953,167158,396684.0722882281,-229526.07228822808,222934,347107.4654230491,-124173.46542304911
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,LassoPSO,0,0.2441608604112944,-0.2441608604112944,0,0.4676187638427108,-0.4676187638427108,0,0.6721291612989216,-0.6721291612989216
validacionmodelo_Créditos a la vivienda4_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,LassoPSO,217288,2256663.2551329737,-2039375.2551329737,404523,2109163.1780451103,-1704640.1780451103,618616,1973676.549606572,-1355060.549606572
validacionmodelo_Créditos comerciales4_True,LassoPSO,2469,28452.02371338989,-25983.02371338989,12131,29942.97232882557,-17811.97232882557,12346,31621.06349272831,-19275.06349272831
validacionmodelo_Créditos comerciales5_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,LassoPSO,-14036,134577.1218257568,-148613.1218257568,-96923,107657.54321053837,-204580.54321053837,-36630,86958.30519052946,-123588.30519052946
validacionmodelo_Créditos de consumo1_True,LassoPSO,9032738,9412330.081041416,-379592.08104141615,8799823,9390868.80649026,-591045.8064902611,8084911,9369117.098663324,-1284206.0986633245
validacionmodelo_Créditos de consumo2_True,LassoPSO,-15314510,-15365898.20942122,51388.2094212193,-14905902,-15385386.164227309,479484.1642273087,-15870485,-15331210.233970849,-539274.766029153
validacionmodelo_Créditos de consumo3_True,LassoPSO,7809437,65711641.03161022,-57902204.03161022,14943581,53223825.951488726,-38280244.951488726,23061817,44387968.38639157,-21326151.386391573
validacionmodelo_Créditos de consumo4_True,LassoPSO,283763,1539349.8843237597,-1255586.8843237597,422632,1521020.353383903,-1098388.353383903,498776,1515365.6009474483,-1016589.6009474484
validacionmodelo_Créditos de consumo5_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,LassoPSO,1222155,11677775.067575565,-10455620.067575565,1935647,9285062.04643648,-7349415.046436479,4046960,7535980.964885034,-3489020.9648850337
validacionmodelo_Créditos de consumo_True,LassoPSO,455122670,455145512.3014053,-22842.30140531063,466064428,457261956.10011226,8802471.89988774,472451068,459377711.3088092,13073356.69119084
validacionmodelo_Depósitos a plazo_True,LassoPSO,138974402,132207419.34330368,6766982.65669632,150681725,134367859.11696175,16313865.883038253,155961229,136560548.64562643,19400680.35437357
validacionmodelo_Depósitos de exigibilidad inmediata_True,LassoPSO,430361702,430049035.34368455,312666.6563154459,432268641,430787158.378692,1481482.621307969,436236415,431519736.08106667,4716678.918933332
validacionmodelo_Disponibilidades_True,LassoPSO,24108153,19706132.186750177,4402020.813249823,19799516,18073914.9656221,1725601.034377899,22218738,18770493.769954525,3448244.230045475
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,LassoPSO,432,27171.31842963864,-26739.31842963864,-8951,25979.55774810189,-34930.5577481019,-4174,20807.769632354317,-24981.769632354317
validacionmodelo_Fondo de reserva_True,LassoPSO,127433107,127886491.81689206,-453384.81689205766,127433107,128309788.66038132,-876681.660381332,127433107,128708812.88409054,-1275705.8840905428
validacionmodelo_Gastos de administración y promoción_True,LassoPSO,3607147,39662894.72983623,-36055747.72983623,8387541,31647104.517464645,-23259563.517464645,12955309,26102587.43733877,-13147278.43733877
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses de disponibilidades_True,LassoPSO,0,27.37105766637924,-27.37105766637924,0,48.72258565894116,-48.72258565894116,0,65.37841800469434,-65.37841800469434
validacionmodelo_Intereses por depósitos a plazo_True,LassoPSO,760149,6933406.9287151,-6173257.9287151,1506776,6482162.091702842,-4975386.091702842,2369964,6065220.278715634,-3695256.278715634
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,LassoPSO,835175,7600241.651031731,-6765066.651031731,1591510,6319120.16040875,-4727610.16040875,2434591,5411787.151892722,-2977196.1518927217
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,LassoPSO,0,18493.38696217858,-18493.38696217858,0,18021.829193422374,-18021.829193422374,0,17552.50090895893,-17552.50090895893
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,LassoPSO,0,2323.264221894959,-2323.264221894959,0,4347.8819488135605,-4347.8819488135605,0,5551.791696474966,-5551.791696474966
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,LassoPSO,2430998,19318402.208721276,-16887404.208721273,4495126,14540953.974662066,-10045827.974662066,6754384,10987710.83963682,-4233326.839636819
validacionmodelo_Inversiones en valores_True,LassoPSO,280216243,272163839.48579824,8052403.51420176,290849436,273114190.81044835,17735245.18955165,293608122,273597331.73361325,20010790.266386747
validacionmodelo_Inversiones permanentes_True,LassoPSO,1503804,1491165.7618100746,12638.23818992544,1503804,1479273.653985532,24530.346014468,1503804,1467701.8315204198,36102.1684795802
validacionmodelo_Operaciones discontinuadas_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Otras cuentas por cobrar_True,LassoPSO,3358004,3013942.845612915,344061.1543870848,3766737,2984437.463346697,782299.5366533031,3756536,2864892.3208904085,891643.6791095915
