archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,Linear,2025,2024.0695970695967,0.9304029304028064,2025,2024.132693314012,0.8673066859880691,2025,2024.1898959531795,0.8101040468204701
validacionmodelo_Capital contribuido_True,Linear,46475907,46377709.82891736,98197.17108264564,46699803,46547934.1365735,151868.86342649907,46948934,46718371.18852179,230562.81147821248
validacionmodelo_Comisiones y tarifas cobradas_True,Linear,185564,1447115.7108324994,-1261551.7108324994,312401,1317468.59110789,-1005067.59110789,455175,1207402.042631262,-752227.042631262
validacionmodelo_Comisiones y tarifas pagadas_True,Linear,96821,469978.8180127701,-373157.8180127701,167158,413718.0309057781,-246560.0309057781,222934,367770.0021642876,-144836.00216428755
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,Linear,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,Linear,0,0.2078928855730606,-0.2078928855730606,0,0.3888519098346511,-0.3888519098346511,0,0.5463665278623026,-0.5463665278623026
validacionmodelo_Créditos a la vivienda4_True,Linear,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,Linear,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,Linear,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,Linear,217288,2358484.122663308,-2141196.122663308,404523,2310646.2731734198,-1906123.2731734195,618616,2273345.9972817632,-1654729.9972817632
validacionmodelo_Créditos comerciales4_True,Linear,2469,28662.45294914397,-26193.45294914397,12131,30415.391518493096,-18284.391518493096,12346,32391.64346450584,-20045.64346450584
validacionmodelo_Créditos comerciales5_True,Linear,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,Linear,-14036,142008.66442353392,-156044.66442353392,-96923,120084.8900627668,-217007.8900627668,-36630,101891.56787204268,-138521.56787204268
validacionmodelo_Créditos de consumo1_True,Linear,9032738,9417124.35372877,-384386.35372876935,8799823,9399561.763196312,-599738.7631963119,8084911,9381147.49463513,-1296236.494635129
validacionmodelo_Créditos de consumo2_True,Linear,-15314510,-15413585.36652505,99075.36652505024,-14905902,-15475572.606386056,569670.6063860562,-15870485,-15455857.884385824,-414627.1156141758
validacionmodelo_Créditos de consumo3_True,Linear,7809437,67447393.25973359,-59637956.25973359,14943581,54010490.68166197,-39066909.68166197,23061817,43271002.08446232,-20209185.084462315
validacionmodelo_Créditos de consumo4_True,Linear,283763,1539928.36058937,-1256165.36058937,422632,1523168.0549607095,-1100536.0549607095,498776,1523212.387309737,-1024436.387309737
validacionmodelo_Créditos de consumo5_True,Linear,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,Linear,1222155,11680278.765024938,-10458123.765024938,1935647,9224798.913845869,-7289151.913845867,4046960,7432886.350300261,-3385926.350300261
