archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,LinearPSO,2025,2024.0695970695967,0.9304029304028064,2025,2024.132693314012,0.8673066859880691,2025,2024.1898959531795,0.8101040468204701
validacionmodelo_Capital contribuido_True,LinearPSO,46475907,46375392.37724589,100514.62275411189,46699803,46544776.2633082,155026.73669180274,46948934,46714410.85483801,234523.14516198635
validacionmodelo_Comisiones y tarifas cobradas_True,LinearPSO,185564,1446715.9930039265,-1261151.9930039265,312401,1314040.5917194576,-1001639.5917194576,455175,1204244.3545019217,-749069.3545019217
validacionmodelo_Comisiones y tarifas pagadas_True,LinearPSO,96821,465755.1068076704,-368934.1068076704,167158,402527.6348316752,-235369.63483167515,222934,351610.3548228597,-128676.35482285968
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,LinearPSO,0,0.2440428325739181,-0.2440428325739181,0,0.4738524252917966,-0.4738524252917966,0,0.6862078487860185,-0.6862078487860185
validacionmodelo_Créditos a la vivienda4_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,LinearPSO,217288,2358294.8697089497,-2141006.8697089497,404523,2308611.238597844,-1904088.2385978436,618616,2271223.960931907,-1652607.960931907
validacionmodelo_Créditos comerciales4_True,LinearPSO,2469,28584.98472425284,-26115.98472425284,12131,30220.435378326973,-18089.435378326973,12346,32243.01340101177,-19897.01340101177
validacionmodelo_Créditos comerciales5_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,LinearPSO,-14036,145386.74672784752,-159422.74672784752,-96923,121760.99686937877,-218683.9968693788,-36630,100225.02394853262,-136855.02394853262
validacionmodelo_Créditos de consumo1_True,LinearPSO,9032738,9417124.353728767,-384386.3537287675,8799823,9399561.763196308,-599738.7631963082,8084911,9381147.494635126,-1296236.4946351256
validacionmodelo_Créditos de consumo2_True,LinearPSO,-15314510,-15413585.366525054,99075.36652505398,-14905902,-15475572.60638606,569670.6063860599,-15870485,-15455857.884385832,-414627.1156141684
validacionmodelo_Créditos de consumo3_True,LinearPSO,7809437,67447393.25973354,-59637956.25973354,14943581,54010490.681661904,-39066909.681661904,23061817,43271002.08446224,-20209185.08446224
validacionmodelo_Créditos de consumo4_True,LinearPSO,283763,1544063.4550350483,-1260300.4550350483,422632,1520369.568993566,-1097737.568993566,498776,1520642.489660716,-1021866.489660716
validacionmodelo_Créditos de consumo5_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,LinearPSO,1222155,11680278.76502494,-10458123.76502494,1935647,9224798.913845874,-7289151.913845874,4046960,7432886.350300272,-3385926.350300272
validacionmodelo_Créditos de consumo_True,LinearPSO,455122670,458629457.6655405,-3506787.6655405164,466064428,463825861.2166664,2238566.783333659,472451068,468815791.7996896,3635276.200310409
validacionmodelo_Depósitos a plazo_True,LinearPSO,138974402,133007374.98680504,5967027.013194948,150681725,135938664.82538718,14743060.17461282,155961229,138871535.98026124,17089693.019738764
validacionmodelo_Depósitos de exigibilidad inmediata_True,LinearPSO,430361702,432847634.2887268,-2485932.288726747,432268641,435555148.84895575,-3286507.8489557505,436236415,438080772.02613,-1844357.026129961
validacionmodelo_Disponibilidades_True,LinearPSO,24108153,19734614.83906511,4373538.160934892,19799516,18110045.95249598,1689470.047504019,22218738,18820247.38826353,3398490.611736465
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,LinearPSO,432,29952.79707232188,-29520.79707232188,-8951,30406.51657105817,-39357.51657105818,-4174,24565.686730864585,-28739.686730864585
validacionmodelo_Fondo de reserva_True,LinearPSO,127433107,129355372.01952454,-1922265.0195245445,127433107,131125811.80812705,-3692704.808127031,127433107,132756417.88100712,-5323310.881007135
validacionmodelo_Gastos de administración y promoción_True,LinearPSO,3607147,41377771.783219405,-37770624.783219405,8387541,33412197.69152455,-25024656.69152455,12955309,26961290.042123877,-14005981.042123873
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses de disponibilidades_True,LinearPSO,0,22.45531239911356,-22.45531239911356,0,40.93537824967054,-40.93537824967054,0,56.14295755466698,-56.14295755466698
validacionmodelo_Intereses por depósitos a plazo_True,LinearPSO,760149,7305520.124200959,-6545371.124200959,1506776,7166950.481915928,-5660174.481915928,2369964,7022337.191079682,-4652373.191079682
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,LinearPSO,835175,7683357.873527561,-6848182.873527561,1591510,6246299.382562455,-4654789.382562455,2434591,5119062.212138122,-2684471.212138122
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,LinearPSO,0,20159.95294055863,-20159.95294055863,0,20818.796507544925,-20818.796507544925,0,21487.308962516618,-21487.308962516618
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,LinearPSO,0,2254.889988514072,-2254.889988514072,0,4280.97815732731,-4280.97815732731,0,5450.553674866496,-5450.553674866496
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,LinearPSO,2430998,26993386.63742335,-24562388.63742335,4495126,26785163.872082107,-22290037.872082107,6754384,26639267.8995441,-19884883.8995441
validacionmodelo_Inversiones en valores_True,LinearPSO,280216243,273534474.9849143,6681768.015085697,290849436,275113812.12184685,15735623.878153143,293608122,276406618.66497177,17201503.33502823
validacionmodelo_Inversiones permanentes_True,LinearPSO,1503804,1498136.2064348503,5667.793565149652,1503804,1492739.4871353514,11064.512864648595,1503804,1486794.9960073177,17009.003992682323
validacionmodelo_Operaciones discontinuadas_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Otras cuentas por cobrar_True,LinearPSO,3358004,3014202.05227979,343801.94772021007,3766737,2987325.2545484663,779411.7454515337,3756536,2861736.486580268,894799.513419732
validacionmodelo_Otras cuentas por pagar_True,LinearPSO,14075139,13284564.854173863,790574.1458261367,14987231,13306054.049740734,1681176.9502592664,13527903,13259781.535350189,268121.46464981325
validacionmodelo_Otros activos_True,LinearPSO,1792279,910563.9289564356,881715.0710435644,1718950,869128.2401976788,849821.7598023212,1567336,849345.24053274,717990.75946726
validacionmodelo_Otros ingresos (egresos) de la operación_True,LinearPSO,-1540,287328.49276639475,-288868.49276639475,-5247,387558.4824432104,-392805.4824432104,4680,470681.7519764717,-466001.7519764717
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",LinearPSO,0,2336.6514675614817,-2336.6514675614817,0,2306.9218409556947,-2306.9218409556947,0,2277.570469605512,-2277.570469605512
"validacionmodelo_Propiedades, mobiliario y equipo_True",LinearPSO,21498801,20705492.19116155,793308.8088384494,21397787,20535310.01158751,862476.9884124883,22029172,20060626.711347792,1968545.288652208
validacionmodelo_Pérdida por valorización_True,LinearPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado neto_True,LinearPSO,4420136,29391505.42551752,-24971369.42551752,7102388,26583417.033705797,-19481029.033705797,9416839,24179699.750140097,-14762860.750140095
