archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,MLP,2025,2023.9541753276976,1.0458246723021605,2025,2023.9154330784957,1.0845669215045746,2025,2023.8813622950472,1.1186377049527891
validacionmodelo_Capital contribuido_True,MLP,46475907,46150305.38290785,325601.61709214747,46699803,46238979.226285376,460823.7737146244,46948934,46355653.56893009,593280.4310699105
validacionmodelo_Comisiones y tarifas cobradas_True,MLP,185564,1149580.0694380407,-964016.0694380408,312401,916960.020914704,-604559.020914704,455175,708085.3505320223,-252910.3505320223
validacionmodelo_Comisiones y tarifas pagadas_True,MLP,96821,-1731740.5768144634,1828561.5768144636,167158,-5014948.557084736,5182106.557084736,222934,-3511817.856473135,3734751.856473135
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,MLP,0,-6.828431419886316e-06,6.828431419886316e-06,0,-5.9059565192809416e-06,5.9059565192809416e-06,0,-5.323674735296935e-06,5.323674735296935e-06
validacionmodelo_Créditos a la vivienda3_True,MLP,0,0.2099867351534781,-0.2099867351534781,0,0.3702832559126486,-0.3702832559126486,0,0.533936744280424,-0.533936744280424
validacionmodelo_Créditos a la vivienda4_True,MLP,0,-6.828431419886316e-06,6.828431419886316e-06,0,-5.9059565192809416e-06,5.9059565192809416e-06,0,-5.323674735296935e-06,5.323674735296935e-06
validacionmodelo_Créditos a la vivienda5_True,MLP,0,-6.828431419886316e-06,6.828431419886316e-06,0,-5.9059565192809416e-06,5.9059565192809416e-06,0,-5.323674735296935e-06,5.323674735296935e-06
validacionmodelo_Créditos a la vivienda6_True,MLP,0,-6.828431419886316e-06,6.828431419886316e-06,0,-5.9059565192809416e-06,5.9059565192809416e-06,0,-5.323674735296935e-06,5.323674735296935e-06
validacionmodelo_Créditos comerciales3_True,MLP,217288,-2763685.458373147,2980973.458373147,404523,-2434855.401294497,2839378.401294497,618616,-1521232.4649505226,2139848.4649505224
validacionmodelo_Créditos comerciales4_True,MLP,2469,20613.577935036512,-18144.577935036512,12131,15600.789623226912,-3469.789623226912,12346,7018.297379632959,5327.702620367041
validacionmodelo_Créditos comerciales5_True,MLP,0,-6.828431419886316e-06,6.828431419886316e-06,0,-5.9059565192809416e-06,5.9059565192809416e-06,0,-5.323674735296935e-06,5.323674735296935e-06
validacionmodelo_Créditos comerciales6_True,MLP,-14036,134435.0218082998,-148471.0218082998,-96923,130490.62439934148,-227413.62439934147,-36630,118086.3665489005,-154716.3665489005
validacionmodelo_Créditos de consumo1_True,MLP,9032738,9433616.972238714,-400878.9722387139,8799823,9430200.50058879,-630377.5005887896,8084911,9424964.691830749,-1340053.6918307468
validacionmodelo_Créditos de consumo2_True,MLP,-15314510,-15436619.39377123,122109.39377122933,-14905902,-15493705.480397604,587803.4803976025,-15870485,-15480837.85746207,-389647.1425379291
validacionmodelo_Créditos de consumo3_True,MLP,7809437,406649814.4978481,-398840377.4978481,14943581,-442076159.1344528,457019740.1344528,23061817,515797560.7079192,-492735743.7079192
validacionmodelo_Créditos de consumo4_True,MLP,283763,1549334.9399410568,-1265571.9399410568,422632,1529356.7567159852,-1106724.7567159852,498776,1534192.9247026923,-1035416.9247026924
validacionmodelo_Créditos de consumo5_True,MLP,0,-6.828431419886316e-06,6.828431419886316e-06,0,-5.9059565192809416e-06,5.9059565192809416e-06,0,-5.323674735296935e-06,5.323674735296935e-06
validacionmodelo_Créditos de consumo6_True,MLP,1222155,10975184.576685974,-9753029.576685974,1935647,8144546.121687767,-6208899.121687767,4046960,5614020.152962096,-1567060.152962096
validacionmodelo_Créditos de consumo_True,MLP,455122670,445930230.1538385,9192439.846161485,466064428,449402069.5933588,16662358.406641183,472451068,454815275.2789527,17635792.72104734
validacionmodelo_Depósitos a plazo_True,MLP,138974402,129173952.19815408,9800449.801845908,150681725,127956667.5369916,22725057.46300839,155961229,124727421.3602507,31233807.639749303
validacionmodelo_Depósitos de exigibilidad inmediata_True,MLP,430361702,417440544.0121271,12921157.9878729,432268641,418131190.95162827,14137450.048371732,436236415,414457662.8737072,21778752.126292825
validacionmodelo_Disponibilidades_True,MLP,24108153,19796466.858731057,4311686.141268943,19799516,17986611.63438151,1812904.3656184897,22218738,18578952.563592747,3639785.436407253
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,MLP,432,27040.119935426625,-26608.119935426625,-8951,6936.242369934061,-15887.242369934062,-4174,14455.720122495964,-18629.720122495964
validacionmodelo_Fondo de reserva_True,MLP,127433107,126497572.4355614,935534.5644386112,127433107,125710159.2938049,1722947.7061951011,127433107,125025403.35349098,2407703.646509021
validacionmodelo_Gastos de administración y promoción_True,MLP,3607147,40747265.48805896,-37140118.48805896,8387541,32493055.64806481,-24105514.64806481,12955309,26326495.896857724,-13371186.896857724
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,MLP,0,-6.828431419886316e-06,6.828431419886316e-06,0,-5.9059565192809416e-06,5.9059565192809416e-06,0,-5.323674735296935e-06,5.323674735296935e-06
validacionmodelo_Incremento por actualización de gastos por intereses_True,MLP,0,-6.828431419886316e-06,6.828431419886316e-06,0,-5.9059565192809416e-06,5.9059565192809416e-06,0,-5.323674735296935e-06,5.323674735296935e-06
validacionmodelo_Incremento por actualización de ingresos por intereses_True,MLP,0,-6.828431419886316e-06,6.828431419886316e-06,0,-5.9059565192809416e-06,5.9059565192809416e-06,0,-5.323674735296935e-06,5.323674735296935e-06
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,MLP,0,-6.828431419886316e-06,6.828431419886316e-06,0,-5.9059565192809416e-06,5.9059565192809416e-06,0,-5.323674735296935e-06,5.323674735296935e-06
validacionmodelo_Intereses de disponibilidades_True,MLP,0,16.81405211095113,-16.81405211095113,0,38.29510726689801,-38.29510726689801,0,65.73767810204922,-65.73767810204922
validacionmodelo_Intereses por depósitos a plazo_True,MLP,760149,8970887.601096421,-8210738.601096421,1506776,10570964.20566572,-9064188.20566572,2369964,12406860.996059936,-10036896.996059936
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,MLP,835175,1443958.2311779591,-608783.2311779591,1591510,-8425635.614168119,10017145.61416812,2434591,41263476.42460315,-38828885.42460315
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,MLP,0,18387.25017065625,-18387.25017065625,0,17940.221306531068,-17940.221306531068,0,17613.281886590103,-17613.281886590103
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,MLP,0,277.2732575633992,-277.2732575633992,0,471.6915705619309,-471.6915705619309,0,719.8247490337012,-719.8247490337012
