archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,MLPSO,2025,2023.7584084639,1.2415915360998042,2025,2023.6612603480569,1.338739651943115,2025,2023.5850436263547,1.414956373645282
validacionmodelo_Capital contribuido_True,MLPSO,46475907,45724975.93135232,750931.0686476827,46699803,45627232.48543701,1072570.5145629868,46948934,45570623.730622254,1378310.2693777457
validacionmodelo_Comisiones y tarifas cobradas_True,MLPSO,185564,1195926.8668396843,-1010362.8668396844,312401,1017959.0476527727,-705558.0476527729,455175,914820.1119862016,-459645.1119862017
validacionmodelo_Comisiones y tarifas pagadas_True,MLPSO,96821,376199.1414312768,-279378.14143127674,167158,296150.97608634195,-128992.97608634197,222934,251274.99148666125,-28340.991486661253
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,MLPSO,0,-8.360352306280294e-09,8.360352306280294e-09,0,-8.643931022345175e-09,8.643931022345175e-09,0,-7.925607448111549e-09,7.925607448111549e-09
validacionmodelo_Créditos a la vivienda3_True,MLPSO,0,0.1353979931425372,-0.1353979931425372,0,0.1966679573560746,-0.1966679573560746,0,0.2336936580064055,-0.2336936580064055
validacionmodelo_Créditos a la vivienda4_True,MLPSO,0,3.6253912372163905e-10,-3.6253912372163905e-10,0,3.7483629394818857e-10,-3.7483629394818857e-10,0,3.4368668327955376e-10,-3.4368668327955376e-10
validacionmodelo_Créditos a la vivienda5_True,MLPSO,0,-1.973827452178556e-09,1.973827452178556e-09,0,-1.7901587365254379e-09,1.7901587365254379e-09,0,-1.8901760191758488e-09,1.8901760191758488e-09
validacionmodelo_Créditos a la vivienda6_True,MLPSO,0,-2.239016264060645e-12,2.239016264060645e-12,0,-2.3363568024681318e-12,2.3363568024681318e-12,0,-2.2882806760549097e-12,2.2882806760549097e-12
validacionmodelo_Créditos comerciales3_True,MLPSO,217288,1911326.105843025,-1694038.105843025,404523,1740311.3946249716,-1335788.3946249716,618616,1635018.4926993183,-1016402.4926993184
validacionmodelo_Créditos comerciales4_True,MLPSO,2469,27122.69452311801,-24653.69452311801,12131,27807.42419378532,-15676.424193785318,12346,28534.49277731745,-16188.49277731745
validacionmodelo_Créditos comerciales5_True,MLPSO,0,9.482484471592945e-08,-9.482484471592945e-08,0,9.650908855234065e-08,-9.650908855234065e-08,0,9.646278372951733e-08,-9.646278372951733e-08
validacionmodelo_Créditos comerciales6_True,MLPSO,-14036,128173.39201811964,-142209.39201811963,-96923,114262.51006514518,-211185.5100651452,-36630,103523.91270851636,-140153.91270851635
validacionmodelo_Créditos de consumo1_True,MLPSO,9032738,9491250.910953045,-458512.9109530449,8799823,9517410.971646575,-717587.9716465753,8084911,9555231.180809291,-1470320.180809293
validacionmodelo_Créditos de consumo2_True,MLPSO,-15314510,-15319452.658810625,4942.65881062299,-14905902,-15168741.234842837,262839.234842835,-15870485,-15088192.075542036,-782292.9244579636
validacionmodelo_Créditos de consumo3_True,MLPSO,7809437,58293347.42269106,-50483910.42269106,14943581,44162201.46491652,-29218620.46491652,23061817,35372761.7366498,-12310944.736649796
validacionmodelo_Créditos de consumo4_True,MLPSO,283763,1358082.340598618,-1074319.340598618,422632,1237377.9900772676,-814745.9900772676,498776,1159832.525933285,-661056.525933285
validacionmodelo_Créditos de consumo5_True,MLPSO,0,-2.974493595875316e-09,2.974493595875316e-09,0,-3.190001776620654e-09,3.190001776620654e-09,0,-3.134744686050794e-09,3.134744686050794e-09
validacionmodelo_Créditos de consumo6_True,MLPSO,1222155,10814641.423701849,-9592486.423701849,1935647,8502424.189363958,-6566777.189363958,4046960,6776892.946429279,-2729932.9464292787
validacionmodelo_Créditos de consumo_True,MLPSO,455122670,437973338.7820486,17149331.217951417,466064428,436471059.0151192,29593368.984880805,472451068,436412601.15932935,36038466.840670645
validacionmodelo_Depósitos a plazo_True,MLPSO,138974402,124147890.00924484,14826511.99075517,150681725,121906979.2094285,28774745.790571496,155961229,118545106.86152758,37416122.13847242
validacionmodelo_Depósitos de exigibilidad inmediata_True,MLPSO,430361702,408795752.1157949,21565949.884205103,432268641,406424378.2824503,25844262.71754968,436236415,403199934.8082119,33036480.19178808
validacionmodelo_Disponibilidades_True,MLPSO,24108153,17721970.432717003,6386182.567282997,19799516,16310655.332800295,3488860.667199705,22218738,16421752.282152709,5796985.717847291
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,MLPSO,432,64329.840818147066,-63897.840818147066,-8951,69010.26882418279,-77961.26882418279,-4174,52273.249408742726,-56447.249408742726
validacionmodelo_Fondo de reserva_True,MLPSO,127433107,122569870.6287047,4863236.371295303,127433107,120000348.1045168,7432758.895483196,127433107,117119095.45162332,10314011.54837668
validacionmodelo_Gastos de administración y promoción_True,MLPSO,3607147,36467423.606701806,-32860276.606701806,8387541,29287160.8574332,-20899619.8574332,12955309,24408708.361220032,-11453399.361220032
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,MLPSO,0,-5.01129383267962e-08,5.01129383267962e-08,0,-5.0923967931382215e-08,5.0923967931382215e-08,0,-5.097165661771542e-08,5.097165661771542e-08
validacionmodelo_Incremento por actualización de gastos por intereses_True,MLPSO,0,-7.736633873822729e-08,7.736633873822729e-08,0,-7.999047164225503e-08,7.999047164225503e-08,0,-7.334344304110729e-08,7.334344304110729e-08
validacionmodelo_Incremento por actualización de ingresos por intereses_True,MLPSO,0,2.401230050214087e-08,-2.401230050214087e-08,0,2.4826798519783644e-08,-2.4826798519783644e-08,0,2.2763610850462523e-08,-2.2763610850462523e-08
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,MLPSO,0,8.030792558733069e-09,-8.030792558733069e-09,0,7.997202539078431e-09,-7.997202539078431e-09,0,7.798008419546143e-09,-7.798008419546143e-09
validacionmodelo_Intereses de disponibilidades_True,MLPSO,0,23.439391740883355,-23.439391740883355,0,43.2417259990624,-43.2417259990624,0,59.970826973552896,-59.970826973552896
validacionmodelo_Intereses por depósitos a plazo_True,MLPSO,760149,6510294.763879961,-5750145.763879961,1506776,6206529.432365167,-4699753.432365167,2369964,5579387.135272054,-3209423.135272054
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,MLPSO,835175,6679553.038085153,-5844378.038085153,1591510,5325304.721670859,-3733794.7216708586,2434591,4349285.878151912,-1914694.878151912
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,MLPSO,0,18769.16921193428,-18769.16921193428,0,18486.347445526942,-18486.347445526942,0,18176.00242522249,-18176.00242522249
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,MLPSO,0,2711.84854952593,-2711.84854952593,0,3915.81672188108,-3915.81672188108,0,4487.18965324959,-4487.18965324959
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,MLPSO,2430998,24137235.722433224,-21706237.722433224,4495126,22650979.763379715,-18155853.763379715,6754384,21558288.89431597,-14803904.89431597
validacionmodelo_Inversiones en valores_True,MLPSO,280216243,263525559.1851613,16690683.814838735,290849436,260885640.5396462,29963795.46035379,293608122,257451333.18699783,36156788.81300217
validacionmodelo_Inversiones permanentes_True,MLPSO,1503804,1461465.567029619,42338.43297038111,1503804,1437508.2428685597,66295.75713144033,1503804,1408911.481514956,94892.5184850439
validacionmodelo_Operaciones discontinuadas_True,MLPSO,0,-5.25237891374486e-11,5.25237891374486e-11,0,-5.4807366978160126e-11,5.4807366978160126e-11,0,-5.3679383854587925e-11,5.3679383854587925e-11
validacionmodelo_Otras cuentas por cobrar_True,MLPSO,3358004,2831900.518489147,526103.4815108529,3766737,2703446.895601792,1063290.104398209,3756536,2461878.577378168,1294657.4226218322
validacionmodelo_Otras cuentas por pagar_True,MLPSO,14075139,12524105.418689962,1551033.5813100375,14987231,12366899.471729051,2620331.528270947,13527903,11929801.37792212,1598101.6220778786
validacionmodelo_Otros activos_True,MLPSO,1792279,967138.3731596408,825140.6268403592,1718950,933442.7071413228,785507.2928586772,1567336,906806.8359571362,660529.1640428638
validacionmodelo_Otros ingresos (egresos) de la operación_True,MLPSO,-1540,253449.76347835572,-254989.76347835572,-5247,313640.0916740865,-318887.0916740865,4680,363377.1629015114,-358697.1629015114
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",MLPSO,0,2334.299125462055,-2334.299125462055,0,2265.83717411038,-2265.83717411038,0,2270.8008412365307,-2270.8008412365307
"validacionmodelo_Propiedades, mobiliario y equipo_True",MLPSO,21498801,17092875.56254294,4405925.437457059,21397787,16712489.843238875,4685297.156761125,22029172,14208882.89659292,7820289.103407081
validacionmodelo_Pérdida por valorización_True,MLPSO,0,5.99295970488134e-10,-5.99295970488134e-10,0,6.626250138863642e-10,-6.626250138863642e-10,0,7.568912128996795e-10,-7.568912128996795e-10
validacionmodelo_Resultado neto_True,MLPSO,4420136,25625174.89956552,-21205038.89956552,7102388,20686168.07609977,-13583780.076099768,9416839,16896453.117836867,-7479614.117836866
validacionmodelo_Resultado por intermediación_True,MLPSO,0,7.369885743346848e-10,-7.369885743346848e-10,0,6.684103409648755e-10,-6.684103409648755e-10,0,7.057547532496321e-10,-7.057547532496321e-10
validacionmodelo_Resultado por posición monetaria neto (margen financiero)_True,MLPSO,0,-1.0175244813392934e-09,1.0175244813392934e-09,0,-1.007238153993839e-09,1.007238153993839e-09,0,-1.0736075639616871e-09,1.0736075639616871e-09
validacionmodelo_Total ingresos_True,MLPSO,10927979,85077255.54942055,-74149276.54942055,20585147,70406151.44783916,-49821004.44783916,31405794,61722488.75060949,-30316694.750609487
validacionmodelo_True,MLPSO,280216243,263525547.30260292,16690695.697397051,290849436,260885625.04040992,29963810.95959008,293608122,257451313.27385417,36156808.72614584
validacionmodelo_Utilidad por valorización_True,MLPSO,0,9.305734086084705e-09,-9.305734086084705e-09,0,9.62138253096656e-09,-9.62138253096656e-09,0,8.821822002069712e-09,-8.821822002069712e-09
