archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,RF,2025,2023.0,2.0,2025,2023.0,2.0,2025,2023.0,2.0
validacionmodelo_Capital contribuido_True,RF,46475907,43821839.07999998,2654067.9200000167,46699803,43821839.07999998,2877963.9200000167,46948934,43821839.07999998,3127094.9200000167
validacionmodelo_Comisiones y tarifas cobradas_True,RF,185564,543779.9000000005,-358215.9000000005,312401,552207.9199999999,-239806.91999999995,455175,574337.7666666663,-119162.76666666626
validacionmodelo_Comisiones y tarifas pagadas_True,RF,96821,131443.4649999997,-34622.464999999735,167158,65368.74210614385,101789.25789385616,222934,73376.41945615692,149557.5805438431
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,RF,0,0.1951600751306524,-0.1951600751306524,0,0.1951600751306524,-0.1951600751306524,0,0.1951600751306524,-0.1951600751306524
validacionmodelo_Créditos a la vivienda4_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,RF,217288,857848.2000000012,-640560.2000000012,404523,978773.5084166672,-574250.5084166673,618616,1165374.4270000006,-546758.4270000006
validacionmodelo_Créditos comerciales4_True,RF,2469,31972.84999999996,-29503.84999999996,12131,37728.33,-25597.329999999994,12346,39726.77000000002,-27380.77000000002
validacionmodelo_Créditos comerciales5_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,RF,-14036,65857.38499999994,-79893.38499999994,-96923,126181.69999999988,-223104.69999999987,-36630,159424.20000000024,-196054.20000000024
validacionmodelo_Créditos de consumo1_True,RF,9032738,9253624.802802015,-220886.8028020151,8799823,9275516.54961348,-475693.5496134814,8084911,9237702.558991188,-1152791.5589911882
validacionmodelo_Créditos de consumo2_True,RF,-15314510,-15422675.11094846,108165.11094846018,-14905902,-15396783.178078871,490881.1780788731,-15870485,-15438556.513605664,-431928.4863943365
validacionmodelo_Créditos de consumo3_True,RF,7809437,53560793.42833332,-45751356.42833332,14943581,48711019.272500046,-33767438.272500046,23061817,31199903.619906142,-8138086.619906142
validacionmodelo_Créditos de consumo4_True,RF,283763,1313102.6274060374,-1029339.6274060374,422632,1084154.759222222,-661522.759222222,498776,1180731.2017025468,-681955.2017025468
validacionmodelo_Créditos de consumo5_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,RF,1222155,13529341.769999998,-12307186.769999998,1935647,13359178.73,-11423531.73,4046960,13359178.73,-9312218.73
validacionmodelo_Créditos de consumo_True,RF,455122670,378363727.0350001,76758942.96499991,466064428,378363727.0350001,87700700.96499991,472451068,378363727.0350001,94087340.96499991
validacionmodelo_Depósitos a plazo_True,RF,138974402,90111333.35833348,48863068.64166653,150681725,90293395.0995834,60388329.9004166,155961229,90293395.0995834,65667833.9004166
validacionmodelo_Depósitos de exigibilidad inmediata_True,RF,430361702,382896100.29999954,47465601.70000047,432268641,382462676.1949999,49805964.80500013,436236415,380793347.7149995,55443067.2850005
validacionmodelo_Disponibilidades_True,RF,24108153,15331908.602696745,8776244.397303257,19799516,14517030.278532472,5282485.7214675285,22218738,14099287.268092692,8119450.731907308
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,RF,432,20034.15647036716,-19602.15647036716,-8951,40521.29107917991,-49472.29107917991,-4174,34892.35605635078,-39066.35605635078
validacionmodelo_Fondo de reserva_True,RF,127433107,99024566.0,28408541.00000001,127433107,99024566.0,28408541.00000001,127433107,99024566.0,28408541.00000001
validacionmodelo_Gastos de administración y promoción_True,RF,3607147,34558268.915625,-30951121.915625,8387541,31204225.842625007,-22816684.842625007,12955309,27916069.641791683,-14960760.641791685
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses de disponibilidades_True,RF,0,15.792078300845484,-15.792078300845484,0,42.67033949775568,-42.67033949775568,0,104.41999999999994,-104.41999999999994
validacionmodelo_Intereses por depósitos a plazo_True,RF,760149,3595811.1300000013,-2835662.1300000013,1506776,3595811.1300000013,-2089035.1300000013,2369964,3595811.1300000013,-1225847.1300000013
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,RF,835175,3436360.493333334,-2601185.493333334,1591510,1613344.535065968,-21834.53506596805,2434591,1662090.9233954002,772500.0766045998
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,RF,0,9251.375,-9251.375,0,9251.375,-9251.375,0,9251.375,-9251.375
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,RF,0,404.2590877071153,-404.2590877071153,0,404.2590877071153,-404.2590877071153,0,404.2590877071153,-404.2590877071153
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,RF,2430998,21741080.50000001,-19310082.50000001,4495126,21741080.50000001,-17245954.500000015,6754384,21741080.50000001,-14986696.500000017
validacionmodelo_Inversiones en valores_True,RF,280216243,235487498.5749564,44728744.42504361,290849436,235166013.51113683,55683422.48886317,293608122,235352766.26422623,58255355.73577377
validacionmodelo_Inversiones permanentes_True,RF,1503804,1402926.6333333324,100877.36666666764,1503804,1402926.6333333324,100877.36666666764,1503804,1402926.6333333324,100877.36666666764
validacionmodelo_Operaciones discontinuadas_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Otras cuentas por cobrar_True,RF,3358004,2269005.349999999,1088998.6500000008,3766737,2211998.61,1554738.39,3756536,2260292.68,1496243.3200000003
validacionmodelo_Otras cuentas por pagar_True,RF,14075139,12079911.85,1995227.1499999985,14987231,12028633.949999996,2958597.0500000026,13527903,11585645.710000005,1942257.2899999968
