archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,RFPSO,2025,2023.0,2.0,2025,2023.0,2.0,2025,2023.0,2.0
validacionmodelo_Capital contribuido_True,RFPSO,46475907,43825912.016722426,2649994.983277574,46699803,43825912.016722426,2873890.983277574,46948934,43825912.016722426,3123021.983277574
validacionmodelo_Comisiones y tarifas cobradas_True,RFPSO,185564,600420.6470588237,-414856.6470588237,312401,713119.617647059,-400718.617647059,455175,627584.6470588237,-172409.64705882373
validacionmodelo_Comisiones y tarifas pagadas_True,RFPSO,96821,114970.95209580804,-18149.95209580804,167158,77960.22754491017,89197.77245508983,222934,81459.65269461073,141474.34730538927
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,RFPSO,0,0.2108838812926728,-0.2108838812926728,0,0.2108838812926728,-0.2108838812926728,0,0.2108838812926728,-0.2108838812926728
validacionmodelo_Créditos a la vivienda4_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,RFPSO,217288,587434.9230769232,-370146.9230769232,404523,840619.4615384614,-436096.4615384614,618616,678944.6153846155,-60328.61538461549
validacionmodelo_Créditos comerciales4_True,RFPSO,2469,30079.28571428571,-27610.28571428571,12131,35636.071428571435,-23505.071428571435,12346,39100.42857142857,-26754.42857142857
validacionmodelo_Créditos comerciales5_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,RFPSO,-14036,60312.54913294794,-74348.54913294794,-96923,96925.34104046246,-193848.3410404625,-36630,142056.84393063613,-178686.84393063613
validacionmodelo_Créditos de consumo1_True,RFPSO,9032738,8933957.033333335,98780.96666666491,8799823,9320786.500000002,-520963.50000000186,8084911,9560304.066666666,-1475393.0666666664
validacionmodelo_Créditos de consumo2_True,RFPSO,-15314510,-15231657.64516129,-82852.35483871028,-14905902,-15238983.16129032,333081.1612903215,-15870485,-15472061.645161292,-398423.3548387084
validacionmodelo_Créditos de consumo3_True,RFPSO,7809437,53857503.51249999,-46048066.51249999,14943581,45218606.175,-30275025.175,23061817,33856594.21250001,-10794777.212500012
validacionmodelo_Créditos de consumo4_True,RFPSO,283763,1348690.9722222222,-1064927.9722222222,422632,1090128.013888889,-667496.013888889,498776,1315506.5138888897,-816730.5138888895
validacionmodelo_Créditos de consumo5_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,RFPSO,1222155,12373406.384615384,-11151251.384615384,1935647,12057063.692307692,-10121416.692307692,4046960,11857987.769230768,-7811027.769230768
validacionmodelo_Créditos de consumo_True,RFPSO,455122670,378592110.2424246,76530559.7575754,466064428,378592110.2424246,87472317.7575754,472451068,378592110.2424246,93858957.7575754
validacionmodelo_Depósitos a plazo_True,RFPSO,138974402,90292159.44594587,48682242.554054126,150681725,90551675.77027024,60130049.22972977,155961229,90551675.77027024,65409553.22972977
validacionmodelo_Depósitos de exigibilidad inmediata_True,RFPSO,430361702,382913158.7427566,47448543.2572434,432268641,382330697.4657895,49937943.5342105,436236415,380846266.885219,55390148.11478102
validacionmodelo_Disponibilidades_True,RFPSO,24108153,14986142.319371756,9122010.680628244,19799516,14662177.293193728,5137338.706806272,22218738,13806361.664921476,8412376.335078524
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,RFPSO,432,15035.249999999996,-14603.249999999996,-8951,30181.571428571333,-39132.57142857133,-4174,28113.625000000036,-32287.625000000036
validacionmodelo_Fondo de reserva_True,RFPSO,127433107,99024566.0,28408541.00000001,127433107,99024566.0,28408541.00000001,127433107,99024566.0,28408541.00000001
validacionmodelo_Gastos de administración y promoción_True,RFPSO,3607147,31700416.399999995,-28093269.399999995,8387541,19951787.733333327,-11564246.733333329,12955309,14423803.133333333,-1468494.133333331
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses de disponibilidades_True,RFPSO,0,18.569999125931545,-18.569999125931545,0,38.63348926100552,-38.63348926100552,0,108.2228541425186,-108.2228541425186
validacionmodelo_Intereses por depósitos a plazo_True,RFPSO,760149,3663949.785714285,-2903800.785714285,1506776,3663949.785714285,-2157173.785714285,2369964,3663949.785714285,-1293985.785714285
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,RFPSO,835175,2762242.052325577,-1927067.052325577,1591510,1404498.359011629,187011.6409883713,2434591,1843189.4460132888,591401.5539867114
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,RFPSO,0,9272.0,-9272.0,0,9272.0,-9272.0,0,9272.0,-9272.0
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,RFPSO,0,428.1511354553447,-428.1511354553447,0,428.1511354553447,-428.1511354553447,0,428.1511354553447,-428.1511354553447
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,RFPSO,2430998,22947657.025,-20516659.025,4495126,22947657.025,-18452531.025,6754384,22947657.025,-16193273.025000002
