archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,Ridge,2025,2024.0865988089708,0.913401191029152,2025,2024.1350649916585,0.8649350083417175,2025,2024.1836980791588,0.8163019208411697
validacionmodelo_Capital contribuido_True,Ridge,46475907,46352005.15214599,123901.84785401076,46699803,46505207.027235374,194595.97276462612,46948934,46660632.816051066,288301.1839489341
validacionmodelo_Comisiones y tarifas cobradas_True,Ridge,185564,1438403.2603502516,-1252839.2603502516,312401,1306376.71403279,-993975.71403279,455175,1196997.649120313,-741822.6491203131
validacionmodelo_Comisiones y tarifas pagadas_True,Ridge,96821,463686.36609305535,-366865.36609305535,167158,400725.6177678197,-233567.61776781973,222934,350069.8146252069,-127135.81462520691
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,Ridge,0,0.2543937208658125,-0.2543937208658125,0,0.4816556614300594,-0.4816556614300594,0,0.690841885789032,-0.690841885789032
validacionmodelo_Créditos a la vivienda4_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,Ridge,217288,2337195.9460458807,-2119907.9460458807,404523,2286373.594583753,-1881850.5945837528,618616,2246982.5078226784,-1628366.5078226784
validacionmodelo_Créditos comerciales4_True,Ridge,2469,28238.920522712942,-25769.920522712942,12131,29887.734819170902,-17756.734819170902,12346,31818.082230019496,-19472.082230019496
validacionmodelo_Créditos comerciales5_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,Ridge,-14036,141469.42750596858,-155505.42750596858,-96923,118377.8736824035,-215300.8736824035,-36630,97555.08341923876,-134185.08341923877
validacionmodelo_Créditos de consumo1_True,Ridge,9032738,9415712.745829657,-382974.74582965486,8799823,9393954.737807758,-594131.7378077582,8084911,9372937.201712873,-1288026.201712871
validacionmodelo_Créditos de consumo2_True,Ridge,-15314510,-15476691.672308836,162181.67230883613,-14905902,-15523908.361143405,618006.3611434028,-15870485,-15480454.282396358,-390030.7176036425
validacionmodelo_Créditos de consumo3_True,Ridge,7809437,66956239.13328815,-59146802.13328815,14943581,53625471.88869619,-38681890.88869619,23061817,43001853.29752423,-19940036.29752423
validacionmodelo_Créditos de consumo4_True,Ridge,283763,1533880.850002319,-1250117.850002319,422632,1512621.5744427806,-1089989.5744427806,498776,1514304.024786726,-1015528.024786726
validacionmodelo_Créditos de consumo5_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,Ridge,1222155,11603783.26633224,-10381628.26633224,1935647,9164564.182571275,-7228917.182571277,4046960,7388866.079079519,-3341906.079079519
validacionmodelo_Créditos de consumo_True,Ridge,455122670,454085462.9297525,1037207.0702474712,466064428,459439525.435435,6624902.564565003,472451068,464388233.0537674,8062834.946232557
validacionmodelo_Depósitos a plazo_True,Ridge,138974402,132614331.27275535,6360070.72724463,150681725,135694447.5271003,14987277.472899737,155961229,138841675.75667024,17119553.243329763
validacionmodelo_Depósitos de exigibilidad inmediata_True,Ridge,430361702,428726967.8631264,1634734.1368736029,432268641,431386439.9858689,882201.0141310692,436236415,433977941.2621079,2258473.737892151
validacionmodelo_Disponibilidades_True,Ridge,24108153,19658170.898737594,4449982.1012624055,19799516,18028071.760806102,1771444.239193894,22218738,18732942.13831834,3485795.861681659
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,Ridge,432,36139.26065462205,-35707.26065462205,-8951,34721.44497787493,-43672.44497787493,-4174,27666.17863304822,-31840.17863304822
validacionmodelo_Fondo de reserva_True,Ridge,127433107,129846072.87379308,-2412965.8737930804,127433107,131308554.76412596,-3875447.764125973,127433107,132767033.57915775,-5333926.579157755
validacionmodelo_Gastos de administración y promoción_True,Ridge,3607147,41049797.1888294,-37442650.1888294,8387541,33148384.62703571,-24760843.62703571,12955309,26767131.25975333,-13811822.259753335
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses de disponibilidades_True,Ridge,0,23.906496677676305,-23.906496677676305,0,43.30015545184858,-43.30015545184858,0,59.03183881072311,-59.03183881072311
validacionmodelo_Intereses por depósitos a plazo_True,Ridge,760149,7208098.173709934,-6447949.173709934,1506776,7047620.062782478,-5540844.062782478,2369964,6880651.115307038,-4510687.115307038
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,Ridge,835175,7634224.738147114,-6799049.738147114,1591510,6209630.867033777,-4618120.867033777,2434591,5095462.273554496,-2660871.2735544955
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,Ridge,0,20134.898364324392,-20134.898364324392,0,20733.91772138146,-20733.91772138146,0,21351.41876978649,-21351.41876978649
validacionmodelo_Intereses y rendimientos a favor en operaciones de reporto_True,Ridge,0,2450.4181327050983,-2450.4181327050983,0,4461.277016791837,-4461.277016791837,0,5629.52331481131,-5629.52331481131
validacionmodelo_Intereses y rendimientos a favor provenientes de inversiones en valores_True,Ridge,2430998,26376960.98465453,-23945962.98465453,4495126,25864855.90702197,-21369729.90702197,6754384,25415173.963489678,-18660789.963489678
validacionmodelo_Inversiones en valores_True,Ridge,280216243,272963976.6992632,7252266.300736845,290849436,274715927.237403,16133508.762597024,293608122,275635037.4532216,17973084.54677838
validacionmodelo_Inversiones permanentes_True,Ridge,1503804,1497759.880663461,6044.119336538948,1503804,1492678.6659460715,11125.334053928264,1503804,1487181.154908861,16622.845091138966
validacionmodelo_Operaciones discontinuadas_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Otras cuentas por cobrar_True,Ridge,3358004,3007715.374775537,350288.6252244632,3766737,2976791.6275974624,789945.3724025376,3756536,2853032.446212175,903503.5537878252
validacionmodelo_Otras cuentas por pagar_True,Ridge,14075139,13392934.668879656,682204.3311203439,14987231,13370146.97012644,1617084.029873561,13527903,13338636.715613669,189266.28438633308
validacionmodelo_Otros activos_True,Ridge,1792279,915981.4668910182,876297.5331089818,1718950,875932.1949666871,843017.8050333129,1567336,856758.6397691799,710577.3602308201
validacionmodelo_Otros ingresos (egresos) de la operación_True,Ridge,-1540,289750.4358356147,-291290.4358356147,-5247,388643.08220490953,-393890.08220490953,4680,470411.5833168984,-465731.5833168984
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",Ridge,0,2269.2132530105346,-2269.2132530105346,0,2266.581551758368,-2266.581551758368,0,2263.9529025999045,-2263.9529025999045
"validacionmodelo_Propiedades, mobiliario y equipo_True",Ridge,21498801,20267780.63331808,1231020.3666819222,21397787,19977946.16207187,1419840.8379281312,22029172,19475034.122735176,2554137.877264824
validacionmodelo_Pérdida por valorización_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado neto_True,Ridge,4420136,28956642.344635125,-24536506.344635125,7102388,26075189.45437765,-18972801.45437765,9416839,23611778.81852672,-14194939.818526722
validacionmodelo_Resultado por intermediación_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado por posición monetaria neto (margen financiero)_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Total ingresos_True,Ridge,10927979,95012160.53803553,-84084181.53803553,20585147,78363981.16374308,-57778834.16374308,31405794,64872994.52336285,-33467200.523362853
validacionmodelo_True,Ridge,280216243,272963976.6992632,7252266.300736845,290849436,274715927.237403,16133508.762597024,293608122,275635037.4532216,17973084.54677838
validacionmodelo_Utilidad por valorización_True,Ridge,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
