archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,RidgePSO,2025,2024.071138878381,0.9288611216193204,2025,2024.133624236743,0.8663757632571105,2025,2024.190491650127,0.8095083498733402
validacionmodelo_Capital contribuido_True,RidgePSO,46475907,46382754.6898427,93152.31015729904,46699803,46547671.3677122,152131.6322878003,46948934,46717470.04404055,231463.95595945415
validacionmodelo_Comisiones y tarifas cobradas_True,RidgePSO,185564,1446556.6025506945,-1260992.6025506945,312401,1313893.626223542,-1001492.626223542,455175,1204105.388153162,-748930.3881531619
validacionmodelo_Comisiones y tarifas pagadas_True,RidgePSO,96821,465701.4644205418,-368880.4644205418,167158,402480.76469649456,-235322.76469649456,222934,351570.0743703576,-128636.07437035756
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,RidgePSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,RidgePSO,0,0.2440812967641028,-0.2440812967641028,0,0.4738815900916451,-0.4738815900916451,0,0.6862255308468869,-0.6862255308468869
validacionmodelo_Créditos a la vivienda4_True,RidgePSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,RidgePSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,RidgePSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,RidgePSO,217288,2356911.404213196,-2139623.404213196,404523,2307155.996771581,-1902632.996771581,618616,2269641.733916134,-1651025.733916134
validacionmodelo_Créditos comerciales4_True,RidgePSO,2469,28571.83240327721,-26102.83240327721,12131,30208.15667605341,-18077.15667605341,12346,32226.225417238376,-19880.225417238376
validacionmodelo_Créditos comerciales5_True,RidgePSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,RidgePSO,-14036,145240.62200161602,-159276.62200161602,-96923,121631.90360710426,-218554.90360710424,-36630,100123.20739748528,-136753.20739748527
validacionmodelo_Créditos de consumo1_True,RidgePSO,9032738,9417106.197546406,-384368.1975464057,8799823,9399466.060472498,-599643.0604724977,8084911,9381006.030862644,-1296095.0308626443
validacionmodelo_Créditos de consumo2_True,RidgePSO,-15314510,-15416039.271899711,101529.27189971134,-14905902,-15477495.11766328,571593.1176632792,-15870485,-15457087.735445203,-413397.2645547968
validacionmodelo_Créditos de consumo3_True,RidgePSO,7809437,67441288.94686587,-59631851.94686587,14943581,54005672.53567247,-39062091.53567247,23061817,43267610.66621836,-20205793.666218355
validacionmodelo_Créditos de consumo4_True,RidgePSO,283763,1543398.8180103784,-1259635.8180103784,422632,1519863.912403131,-1097231.912403131,498776,1520231.34044057,-1021455.34044057
validacionmodelo_Créditos de consumo5_True,RidgePSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
