archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,XGBoost,2025,2022.997074007988,2.002925992012024,2025,2022.0989863872528,2.9010136127471924,2025,2022.0989863872528,2.9010136127471924
validacionmodelo_Capital contribuido_True,XGBoost,46475907,43877090.07882881,2598816.9211711884,46699803,43877090.07882881,2822712.9211711884,46948934,43877090.07882881,3071843.9211711884
validacionmodelo_Comisiones y tarifas cobradas_True,XGBoost,185564,155593.40424983948,29970.595750160515,312401,150748.50656162947,161652.49343837053,455175,149821.55668170005,305353.44331829995
validacionmodelo_Comisiones y tarifas pagadas_True,XGBoost,96821,70738.23645974696,26082.763540253043,167158,84863.35857158898,82294.64142841102,222934,99098.80529022215,123835.19470977785
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,XGBoost,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,XGBoost,0,0.2100496124476194,-0.2100496124476194,0,0.2100496124476194,-0.2100496124476194,0,0.2100496124476194,-0.2100496124476194
validacionmodelo_Créditos a la vivienda4_True,XGBoost,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,XGBoost,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,XGBoost,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,XGBoost,217288,221634.25429822505,-4346.254298225045,404523,331916.7043707967,72606.29562920332,618616,487666.32343277335,130949.67656722663
validacionmodelo_Créditos comerciales4_True,XGBoost,2469,1533.25854703784,935.74145296216,12131,2288.506123006344,9842.493876993656,12346,5821.003065228462,6524.996934771538
validacionmodelo_Créditos comerciales5_True,XGBoost,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,XGBoost,-14036,122581.53665661812,-136617.53665661812,-96923,168770.22357392314,-265693.2235739231,-36630,172574.51269781592,-209204.51269781592
validacionmodelo_Créditos de consumo1_True,XGBoost,9032738,9820787.74303162,-788049.743031621,8799823,9997690.825529814,-1197867.8255298138,8084911,9974989.225397706,-1890078.225397706
validacionmodelo_Créditos de consumo2_True,XGBoost,-15314510,-15541434.435388329,226924.43538832664,-14905902,-15014567.99380827,108665.9938082695,-15870485,-15072509.458958684,-797975.5410413146
validacionmodelo_Créditos de consumo3_True,XGBoost,7809437,62698953.91061479,-54889516.91061479,14943581,61485984.34041363,-46542403.34041363,23061817,61485984.34041363,-38424167.34041363
validacionmodelo_Créditos de consumo4_True,XGBoost,283763,1599500.873583019,-1315737.873583019,422632,1442709.5109072926,-1020077.5109072926,498776,852619.9014142157,-353843.9014142157
validacionmodelo_Créditos de consumo5_True,XGBoost,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,XGBoost,1222155,13549838.785308836,-12327683.785308836,1935647,13549838.785308836,-11614191.785308836,4046960,13549838.785308836,-9502878.785308836
validacionmodelo_Créditos de consumo_True,XGBoost,455122670,380126901.5281263,74995768.4718737,466064428,380126901.5281263,85937526.4718737,472451068,380126901.5281263,92324166.4718737
validacionmodelo_Depósitos a plazo_True,XGBoost,138974402,90124804.10279512,48849597.89720489,150681725,90124804.10279512,60556920.89720489,155961229,90124804.10279512,65836424.89720489
validacionmodelo_Depósitos de exigibilidad inmediata_True,XGBoost,430361702,383265643.4348247,47096058.565175295,432268641,382873130.6760075,49395510.32399249,436236415,381383745.4654957,54852669.534504354
validacionmodelo_Disponibilidades_True,XGBoost,24108153,15848964.519691885,8259188.4803081155,19799516,14061805.294609427,5737710.705390573,22218738,13415971.60436344,8802766.395636559
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,XGBoost,432,27498.652898788463,-27066.652898788463,-8951,51937.48780870438,-60888.48780870438,-4174,88283.23527121545,-92457.23527121544
validacionmodelo_Fondo de reserva_True,XGBoost,127433107,98993495.57141608,28439611.42858393,127433107,79916152.39089195,47516954.609108046,127433107,79916152.39089195,47516954.609108046
validacionmodelo_Gastos de administración y promoción_True,XGBoost,3607147,38314885.38383436,-34707738.38383436,8387541,38314885.38383436,-29927344.38383436,12955309,38314885.38383436,-25359576.38383436
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,XGBoost,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,XGBoost,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,XGBoost,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,XGBoost,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses de disponibilidades_True,XGBoost,0,19.346193194389343,-19.346193194389343,0,58.75281429290772,-58.75281429290772,0,60.06574058532715,-60.06574058532715
validacionmodelo_Intereses por depósitos a plazo_True,XGBoost,760149,3871373.456151485,-3111224.456151485,1506776,3871373.456151485,-2364597.456151485,2369964,3871373.456151485,-1501409.456151485
validacionmodelo_Intereses por depósitos de exigibilidad inmediata_True,XGBoost,835175,1669367.207971051,-834192.2079710513,1591510,1631796.4453867674,-40286.44538676739,2434591,1930984.830512762,503606.16948723793
validacionmodelo_Intereses por préstamos bancarios y de otros organismos_True,XGBoost,0,9120.925324440002,-9120.925324440002,0,6465.505578041077,-6465.505578041077,0,6465.505578041077,-6465.505578041077
