archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,XGBoostPSO,2025,2022.997706413269,2.002293586730957,2025,2022.0994799137115,2.900520086288452,2025,2022.0994799137115,2.900520086288452
validacionmodelo_Capital contribuido_True,XGBoostPSO,46475907,43882252.86603278,2593654.133967221,46699803,43882252.86603278,2817550.133967221,46948934,43882252.86603278,3066681.133967221
validacionmodelo_Comisiones y tarifas cobradas_True,XGBoostPSO,185564,135712.78381323814,49851.216186761856,312401,225158.3032337427,87242.69676625729,455175,344383.9431014508,110791.0568985492
validacionmodelo_Comisiones y tarifas pagadas_True,XGBoostPSO,96821,40553.521599553525,56267.47840044648,167158,69555.89131946862,97602.10868053138,222934,106204.55500113964,116729.44499886036
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,XGBoostPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,XGBoostPSO,0,0.2102353367954492,-0.2102353367954492,0,0.2102353367954492,-0.2102353367954492,0,0.2102353367954492,-0.2102353367954492
validacionmodelo_Créditos a la vivienda4_True,XGBoostPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,XGBoostPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,XGBoostPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,XGBoostPSO,217288,168765.507490322,48522.492509678006,404523,321452.03611144423,83070.96388855577,618616,491911.246861279,126704.753138721
validacionmodelo_Créditos comerciales4_True,XGBoostPSO,2469,1439.939566001296,1029.060433998704,12131,2331.9823833703995,9799.0176166296,12346,9430.685673832892,2915.314326167106
validacionmodelo_Créditos comerciales5_True,XGBoostPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,XGBoostPSO,-14036,53335.64846628905,-67371.64846628904,-96923,146827.2574336529,-243750.2574336529,-36630,183009.1435705424,-219639.1435705424
validacionmodelo_Créditos de consumo1_True,XGBoostPSO,9032738,10020018.357577384,-987280.3575773836,8799823,10051412.006316602,-1251589.0063166022,8084911,9945114.427331269,-1860203.4273312688
validacionmodelo_Créditos de consumo2_True,XGBoostPSO,-15314510,-15594212.663458468,279702.66345846653,-14905902,-14902840.560044529,-3061.439955472946,-15870485,-14763475.317110896,-1107009.682889104
validacionmodelo_Créditos de consumo3_True,XGBoostPSO,7809437,69191176.74788922,-61381739.74788922,14943581,69191176.74788922,-54247595.74788922,23061817,69191176.74788922,-46129359.74788922
validacionmodelo_Créditos de consumo4_True,XGBoostPSO,283763,1341282.394392431,-1057519.394392431,422632,931938.2085479796,-509306.2085479797,498776,1854283.5485348704,-1355507.5485348704
validacionmodelo_Créditos de consumo5_True,XGBoostPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,XGBoostPSO,1222155,14871808.069426058,-13649653.069426058,1935647,14871808.069426058,-12936161.069426058,4046960,14871808.069426058,-10824848.069426058
validacionmodelo_Créditos de consumo_True,XGBoostPSO,455122670,380114760.0923124,75007909.9076876,466064428,380114760.0923124,85949667.9076876,472451068,380114760.0923124,92336307.9076876
validacionmodelo_Depósitos a plazo_True,XGBoostPSO,138974402,90115212.49124508,48859189.50875493,150681725,90115212.49124508,60566512.50875493,155961229,90115212.49124508,65846016.50875493
validacionmodelo_Depósitos de exigibilidad inmediata_True,XGBoostPSO,430361702,383308792.5896947,47052909.41030532,432268641,382322592.6526665,49946048.34733349,436236415,379852291.07511055,56384123.924889445
validacionmodelo_Disponibilidades_True,XGBoostPSO,24108153,15766084.233579695,8342068.766420305,19799516,14352295.923734784,5447220.076265216,22218738,15036380.588151574,7182357.411848426
validacionmodelo_Estimación preventiva para riesgos crediticios adicional1_True,XGBoostPSO,432,39009.26631855965,-38577.26631855965,-8951,54896.5019145012,-63847.5019145012,-4174,123720.08720326424,-127894.08720326424
validacionmodelo_Fondo de reserva_True,XGBoostPSO,127433107,98994801.51860212,28438305.48139788,127433107,79919570.08246396,47513536.91753604,127433107,79919570.08246396,47513536.91753604
validacionmodelo_Gastos de administración y promoción_True,XGBoostPSO,3607147,43012949.55979312,-39405802.55979312,8387541,43012949.55979312,-34625408.559793115,12955309,43012949.55979312,-30057640.559793115
validacionmodelo_Incremento por actualización de estimación preventiva para riesgos crediticios_True,XGBoostPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de gastos por intereses_True,XGBoostPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Incremento por actualización de ingresos por intereses_True,XGBoostPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Intereses a cargo asociados con cuentas de captación sin movimiento_True,XGBoostPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
