modelo,promedio_error,num_filas,columnas_usadas
LassoPSO,4522143.995980158,52,"diff0,diff1,diff2"
RidgePSO,4682390.710533483,52,"diff0,diff1,diff2"
LinearPSO,4713812.812530384,52,"diff0,diff1,diff2"
Ridge,4719207.753906214,52,"diff0,diff1,diff2"
Lasso,4738570.520590392,52,"diff0,diff1,diff2"
Linear,4774208.381496122,52,"diff0,diff1,diff2"
MLPSO,6067567.874825221,52,"diff0,diff1,diff2"
DT,9334957.85790714,52,"diff0,diff1,diff2"
RFPSO,9418295.599767748,52,"diff0,diff1,diff2"
RF,9734600.767795816,52,"diff0,diff1,diff2"
XGBoost,10474400.00822739,52,"diff0,diff1,diff2"
XGBoostPSO,11074777.409895983,52,"diff0,diff1,diff2"
DTPSO,11187915.392556109,52,"diff0,diff1,diff2"
MLP,14009706.63838296,52,"diff0,diff1,diff2"
