modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
DT,24108153,19284923.0,4823230.0,19799516,19284923.0,514593.0,22218738,19284923.0,2933815.0
DTPSO,24108153,19284923.0,4823230.0,19799516,19284923.0,514593.0,22218738,19284923.0,2933815.0
MLP,24108153,20478172.498879742,3629980.501120258,19799516,20314417.557030812,-514901.5570308119,22218738,20157528.75840171,2061209.2415982895
MLPSO,24108153,19216811.54734215,4891341.452657849,19799516,18246315.974200904,1553200.0257990956,22218738,17562891.17043798,4655846.82956202
Lasso,24108153,20450664.074841022,3657488.9251589775,19799516,20255118.277612798,-455602.2776127979,22218738,20062573.82398456,2156164.1760154404
LassoPSO,24108153,20510502.41216912,3597650.587830879,19799516,20373234.821951292,-573718.8219512925,22218738,20237439.27224575,1981298.7277542502
Linear,24108153,20649257.999999996,3458895.0000000037,19799516,20649257.99999999,-849741.9999999888,22218738,20649257.999999985,1569480.000000015
LinearPSO,24108153,20649258.0,3458895.0,19799516,20649258.0,-849742.0,22218738,20649258.0,1569480.0
RF,24108153,18852378.94,5255774.059999999,19799516,18852378.94,947137.0599999987,22218738,18852378.94,3366359.0599999987
RFPSO,24108153,18980805.011904765,5127347.988095235,19799516,18980805.011904765,818710.9880952351,22218738,18980805.011904765,3237932.988095235
Ridge,24108153,20500537.33392189,3607615.6660781093,19799516,20353526.06869142,-554010.0686914213,22218738,20208204.556391895,2010533.4436081052
RidgePSO,24108153,20645727.719807122,3462425.280192878,19799516,20642198.402821235,-842682.4028212354,22218738,20638670.048779525,1580067.9512204751
XGBoost,24108153,19260002.391890045,4848150.608109955,19799516,18177106.495555338,1622409.5044446625,22218738,18066494.306092795,4152243.693907205
XGBoostPSO,24108153,19260474.469328757,4847678.530671243,19799516,18176081.896988805,1623434.1030111946,22218738,18065939.668025788,4152798.331974212
